Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1929,8.752,8.787,15.721,35.785,10.341,6.068,13.438,9.93,13.363,3.235,25.796,16.111,4.108,14.234,18.188,6.22,10.714,11.233,8.35,4.986,6.23,6.134,6.011,3.415
1930,8.415,8.415,14.884,33.69,9.805,5.894,12.865,9.525,12.739,3.062,24.762,15.423,4.02,12.886,16.27,6.221,9.136,9.269,7.994,4.834,5.953,5.943,5.648,3.323
1931,7.583,7.514,12.832,30.082,8.382,5.479,11.774,8.814,11.865,2.802,23.471,14.451,3.639,10.14,12.488,5.793,7.383,7.249,7.098,4.596,5.914,5.867,5.651,3.125
1932,6.719,6.627,11.055,26.505,7.187,4.95,9.955,7.793,10.745,2.432,22.137,13.13,2.967,8.794,10.766,5.2,5.918,5.681,6.016,4.177,5.62,5.722,5.22,2.805
1933,6.537,6.391,10.964,25.861,7.15,4.639,9.122,7.616,10.481,2.457,21.268,12.216,2.922,8.793,11.264,3.943,5.672,5.685,5.091,4.281,5.662,5.684,5.323,2.892
1934,6.855,6.681,12.045,27.414,7.908,4.58,9.145,7.982,10.821,2.464,22.468,12.433,3.245,10.196,13.177,4.3,6.444,6.491,5.681,4.602,6.04,5.94,5.74,3.12
1935,6.993,6.846,12.368,27.259,8.173,4.68,9.034,8.025,10.941,2.579,22.269,12.635,3.199,10.455,13.5,4.437,6.55,6.596,5.781,4.643,6.082,6.139,5.715,3.15
1936,7.08,6.909,12.416,27.416,8.202,4.756,9.139,8.118,10.954,2.575,22.235,12.938,3.355,10.808,13.825,4.87,7.009,7.08,6.097,4.82,6.615,6.282,6.364,3.18
1937,7.339,7.16,12.863,28.545,8.487,4.933,9.816,8.796,11.824,2.926,23.507,13.442,3.683,11.526,14.652,5.392,7.822,7.912,6.77,4.912,6.704,6.43,6.427,3.254
1938,7.203,6.997,12.342,28.524,8.069,4.938,9.527,8.906,11.902,2.871,24.073,13.378,3.801,10.996,13.558,6.125,7.228,7.091,6.988,4.931,6.786,6.443,6.53,3.247
1939,7.113,6.929,12.155,28.179,7.942,4.924,9.465,8.866,11.797,2.839,23.819,13.451,3.825,10.848,13.261,6.341,7.587,7.22,8.103,4.85,6.67,6.44,6.381,3.195
1940,7.177,6.988,12.264,28.463,8.01,4.963,9.694,9.085,12.059,2.885,24.457,13.661,3.94,11.766,14.22,7.307,8.092,7.707,8.621,4.803,6.458,6.238,6.171,3.218
