Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Exports,Goods.1,Services.1,Imports,Goods.2,Services.2,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1947Q1,11.148,11.557,22.699,51.892,14.928,7.029,15.866,14.837,19.181,5.236,35.341,22.342,7.186,19.531,23.63,12.83,13.931,13.979,13.358,7.184,9.668,9.616,9.134,5.186
1947Q2,11.3,11.649,22.917,52.369,15.074,7.068,16.473,15.396,19.763,5.303,36.836,22.569,7.584,20.977,25.882,12.272,14.912,15.327,13.279,7.166,9.555,9.572,8.691,5.268
1947Q3,11.478,11.866,23.267,52.662,15.346,7.237,17.022,15.781,20.284,5.489,37.664,23.036,7.751,22.045,27.531,11.986,15.711,16.413,13.283,7.029,9.169,8.825,9.752,5.38
1947Q4,11.714,12.162,23.88,53.348,15.81,7.401,17.227,16.105,20.652,5.673,38.013,23.561,7.943,22.589,28.367,11.89,16.247,17.137,13.36,7.118,9.184,8.82,9.905,5.552
1948Q1,11.849,12.297,24.223,53.756,16.07,7.444,17.448,16.265,20.762,5.824,37.805,23.622,8.085,22.732,28.548,11.986,16.626,17.505,13.761,7.252,9.259,9.04,9.304,5.757
1948Q2,11.989,12.424,24.482,54.461,16.23,7.518,17.823,16.62,21.343,5.984,38.916,24.015,8.173,22.61,28.35,12.06,16.682,17.561,13.831,7.35,9.336,9.187,9.143,5.883
1948Q3,12.198,12.614,24.859,56.356,16.388,7.631,18.313,17.124,22.074,6.138,40.532,24.361,8.36,22.343,27.925,12.157,16.518,17.341,13.824,7.497,9.433,9.327,9.116,6.094
1948Q4,12.193,12.574,24.673,56.459,16.218,7.659,18.418,17.309,22.373,6.195,41.266,24.254,8.405,21.997,27.382,12.245,16.253,17.004,13.747,7.543,9.439,9.367,9.025,6.188
1949Q1,12.153,12.475,24.368,56.269,15.971,7.654,18.363,17.278,22.22,6.09,41.205,24.189,8.471,21.608,26.791,12.296,15.887,16.592,13.511,7.658,9.735,9.538,9.668,6.123
1949Q2,12.078,12.399,24.091,55.9,15.766,7.669,18.33,17.254,22.186,6.006,41.451,24.111,8.461,21.206,26.175,12.365,15.722,16.397,13.414,7.608,9.726,9.51,9.717,6.027
1949Q3,11.991,12.327,23.812,55.22,15.587,7.694,18.139,17.067,22.101,5.975,41.313,24.064,8.264,20.871,25.666,12.406,15.654,16.316,13.363,7.563,9.648,9.458,9.573,6.013
