Time,Gross domestic income,"Compensation of employees, paid",Wages and salaries,To persons,To the rest of the world,Supplements to wages and salaries,Taxes on production and imports,Less: Subsidies,Net operating surplus,Private enterprises,"Net interest and miscellaneous payments, domestic industries",Business current transfer payments (net),Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Taxes on corporate income,Profits after tax with inventory valuation and capital consumption adjustments,Net dividends,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Consumption of fixed capital,Private,Government,Statistical discrepancy
1947Q1,240.092,128.92,118.795,,,10.125,17.679,0.511,,65.933,1.992,0.524,36.188,6.657,20.571,11.496,9.075,5.432,3.643,,28.071,16.291,11.78,3.072
1947Q2,243.209,130.718,121.191,,,9.526,17.74,0.417,,66.462,2.223,0.685,33.262,6.768,23.523,10.88,12.643,5.68,6.963,,28.706,17.305,11.401,2.759
1947Q3,247.579,132.712,123.919,,,8.793,18.031,0.364,,67.684,2.404,0.797,33.893,6.973,23.616,10.724,12.892,5.924,6.968,,29.515,18.242,11.273,2.006
1947Q4,256.122,136.808,128.198,,,8.61,18.974,0.302,,70.451,2.465,0.854,34.972,7.157,25.003,11.672,13.331,5.792,7.539,,30.191,19.102,11.088,3.623
1948Q1,265.07,140.319,131.579,,,8.74,18.963,0.384,,75.557,2.352,0.732,36.384,7.319,28.771,12.008,16.763,6.376,10.387,,30.615,19.886,10.728,0.672
1948Q2,273.654,141.984,133.292,,,8.692,19.665,0.292,,81.211,2.336,0.705,40.231,7.465,30.473,12.648,17.825,5.972,11.853,,31.086,20.574,10.511,-1.087
1948Q3,278.941,146.761,137.971,,,8.79,20.006,0.615,,81.138,2.4,0.7,40.604,7.536,29.898,12.408,17.49,6.436,11.054,,31.65,21.166,10.484,0.256
1948Q4,281.223,147.843,139.015,,,8.828,20.27,0.869,,82.021,2.429,0.692,39.897,7.617,31.385,11.952,19.433,6.684,12.749,,31.959,21.661,10.298,-0.857
1949Q1,274.18,146.209,136.684,,,9.525,20.369,0.585,,75.939,2.552,0.65,35.414,7.543,29.78,10.836,18.944,6.564,12.38,,32.249,22.061,10.188,0.854
1949Q2,270.661,144.622,134.947,,,9.675,20.822,0.399,,73.36,2.616,0.657,34.937,7.654,27.496,9.52,17.976,6.54,11.436,,32.256,22.432,9.824,0.69
1949Q3,270.863,143.55,133.925,,,9.625,21.253,0.529,,74.335,2.705,0.697,34.238,7.888,28.807,9.936,18.871,6.44,12.431,,32.255,22.777,9.478,2.026
1949Q4,267.232,142.722,133.144,,,9.578,21.172,0.481,,71.436,2.76,0.749,34.171,8.108,25.648,9.748,15.9,6.852,9.048,,32.382,23.094,9.288,3.395
1950Q1,277.506,146.926,136.792,,,10.133,21.554,0.69,,77.311,2.969,0.71,36.246,8.458,28.928,13.44,15.488,7.576,7.912,,32.405,23.384,9.021,3.323
1950Q2,289.932,153.538,142.964,,,10.574,22.462,0.809,,81.971,2.906,0.778,36.813,8.669,32.805,16.108,16.697,7.752,8.945,,32.769,23.879,8.89,0.451
1950Q3,307.524,162.225,150.947,,,11.277,24.38,0.772,,88.12,2.947,0.858,38.456,8.841,37.017,19.724,17.293,8.216,9.077,,33.572,24.58,8.992,0.629
1950Q4,319.297,170.072,157.996,,,12.076,23.404,1.103,,92.101,3.054,0.949,38.543,9.148,40.408,21.64,18.768,8.66,10.108,,34.823,25.485,9.338,0.648
1951Q1,332.534,178.552,165.319,,,13.233,25.094,1.156,,93.791,3.259,1.079,40.901,9.32,39.232,26.048,13.184,7.592,5.592,,36.253,26.596,9.658,3.465
1951Q2,340.649,184.887,170.979,,,13.907,24.069,1.128,,95.486,3.343,1.151,42.539,9.576,38.876,22.004,16.872,7.748,9.124,,37.336,27.5,9.837,3.441
1951Q3,346.823,187.84,173.48,,,14.36,24.481,0.872,,97.106,3.507,1.187,43.241,9.858,39.313,19.888,19.425,7.66,11.765,,38.267,28.198,10.069,4.562
1951Q4,353.871,191.481,176.591,,,14.889,25.336,1.037,,99.047,3.611,1.221,43.698,10.124,40.394,21.276,19.118,7.652,11.466,,39.045,28.69,10.354,2.306
1952Q1,356.053,196.095,181.004,,,15.091,26.087,0.813,,95.154,3.723,1.216,41.693,10.4,38.122,19.528,18.594,7.284,11.31,,39.53,28.976,10.554,3.767
1952Q2,358.604,197.424,182.118,,,15.306,26.918,0.791,,94.877,3.803,1.203,42.956,10.665,36.249,18.372,17.877,7.916,9.961,,40.176,29.317,10.859,2.426
1952Q3,365.999,201.501,185.95,,,15.551,27.334,0.798,,96.958,3.939,1.188,44.745,10.931,36.156,18.308,17.848,7.78,10.068,,41.003,29.712,11.291,1.702
1952Q4,378.271,209.324,193.464,,,15.86,28.145,0.695,,99.787,3.995,1.183,42.762,11.267,40.58,20.22,20.36,8.032,12.328,,41.709,30.162,11.547,2.541
1953Q1,385.073,213.13,197.076,,,16.054,28.746,0.727,,101.428,4.235,1.193,42.948,11.584,41.468,21.284,20.184,7.636,12.548,,42.496,30.667,11.829,2.907
1953Q2,388.515,216.216,200.034,,,16.182,29.178,0.451,,100.306,4.261,1.196,42.347,11.894,40.609,21.376,19.233,8.308,10.925,,43.266,31.14,12.126,3.234
1953Q3,387.598,216.53,200.153,,,16.377,29.319,0.676,,98.609,4.504,1.148,41.218,12.162,39.578,20.876,18.702,8.304,10.398,,43.817,31.583,12.234,3.572
1953Q4,380.524,215.136,198.722,,,16.414,29.161,0.202,,92.048,4.615,1.075,41.557,12.474,32.329,16.24,16.089,8.128,7.961,,44.381,31.994,12.387,5.446
1954Q1,382.558,213.169,196.458,,,16.711,28.681,0.13,,95.899,4.797,0.956,42.681,12.797,34.668,16.096,18.572,8.42,10.152,,44.94,32.374,12.566,2.787
1954Q2,383.6,212.741,196.014,,,16.727,28.812,0.692,,97.048,5.062,0.881,42.099,13.015,35.991,16.612,19.379,7.836,11.543,,45.691,32.76,12.932,2.522
1954Q3,387.551,213.281,196.391,,,16.89,28.744,0.328,,99.554,5.308,0.883,42.248,13.144,37.971,17.66,20.311,8.184,12.127,,46.3,33.151,13.15,3.445
1954Q4,396.846,217.593,200.417,,,17.176,29.319,0.16,,103.104,5.519,0.943,41.992,13.287,41.361,19.024,22.337,8.104,14.233,,46.991,33.548,13.443,2.888
1955Q1,409.644,221.965,204.126,,,17.839,30.248,0.264,,110.233,5.564,1.101,43.667,13.333,46.568,21.132,25.436,8.692,16.744,,47.461,33.95,13.51,3.43
1955Q2,419.737,228.153,209.921,,,18.232,31.228,0.327,,112.505,5.737,1.245,44.27,13.386,47.867,21.38,26.487,8.928,17.559,,48.178,34.528,13.65,1.795
1955Q3,428.228,233.98,215.316,,,18.664,31.941,0.031,,113.022,5.802,1.372,44.635,13.441,47.773,21.888,25.885,9.46,16.425,,49.315,35.281,14.034,1.993
1955Q4,435.768,238.461,219.521,,,18.94,32.451,0.181,,114.434,5.872,1.471,44.518,13.527,49.046,22.756,26.29,9.524,16.766,,50.603,36.209,14.395,1.324
1956Q1,440.533,242.91,223.364,,,19.546,33.031,0.3,,112.749,6.018,1.574,44.863,13.595,46.7,21.684,25.016,9.684,15.332,,52.144,37.311,14.832,-0.787
1956Q2,447.678,247.573,227.583,,,19.99,33.596,0.556,,113.559,6.199,1.623,45.251,13.604,46.882,22.096,24.786,9.772,15.014,,53.505,38.352,15.153,-1.667
1956Q3,453.772,250.502,230.035,,,20.467,34.597,0.899,,114.753,6.584,1.674,46.408,13.682,46.405,20.728,25.677,9.732,15.945,,54.819,39.329,15.49,-2.582
1956Q4,463.554,256.445,235.449,,,20.996,35.724,1.213,,116.567,6.979,1.731,46.753,13.79,47.314,21.856,25.458,10.288,15.17,,56.032,40.244,15.788,-3.091
1957Q1,471.077,260.3,238.344,,,21.956,36.144,1.286,,118.606,7.362,1.798,46.927,13.871,48.647,22.344,26.303,10.324,15.979,,57.313,41.096,16.217,-1.298
1957Q2,473.964,262.135,239.695,,,22.44,36.561,1.218,,118.066,7.556,1.826,47.713,13.97,47.001,21.356,25.645,10.268,15.377,,58.42,41.901,16.518,-1.939
1957Q3,478.836,264.802,241.907,,,22.895,37.012,1.061,,118.594,7.741,1.84,48.805,14.08,46.128,20.864,25.264,10.456,14.808,,59.488,42.66,16.828,0.655
1957Q4,473.699,263.379,240.17,,,23.209,36.746,0.962,,114.088,7.855,1.827,47.7,14.291,42.415,18.956,23.459,10.548,12.911,,60.448,43.371,17.077,1.164
1958Q1,468.148,259.839,236.796,,,23.043,36.823,1.097,,111.491,7.974,1.794,50.265,14.572,36.886,16.328,20.558,10.524,10.034,,61.092,44.035,17.057,-0.608
1958Q2,470.909,259.498,236.348,,,23.15,37.331,1.291,,113.368,8.493,1.741,50.325,14.75,38.06,16.676,21.384,10.504,10.88,,62.003,44.651,17.352,1.07
1958Q3,484.819,267.3,243.909,,,23.391,37.795,1.476,,118.258,9.318,1.673,50.123,14.889,42.255,18.908,23.347,10.34,13.007,,62.943,45.219,17.724,1.021
1958Q4,498.445,272.335,248.504,,,23.831,38.929,1.612,,125.011,10.379,1.607,49.916,14.976,48.133,21.848,26.285,10.056,16.229,,63.782,45.739,18.043,1.11
1959Q1,510.145,279.827,254.092,,,25.735,39.77,1.148,127.232,126.738,8.322,1.6,50.08,14.97,51.765,22.796,28.969,11.004,17.965,0.494,64.464,46.211,18.253,0.185
1959Q2,524.882,286.539,260.637,,,25.902,40.292,0.928,133.856,133.302,9.343,1.661,50.34,15.431,56.527,24.952,31.575,11.516,20.059,0.554,65.122,46.642,18.48,-2.229
1959Q3,522.572,287.007,260.98,,,26.027,41.722,1.088,129.142,128.621,9.412,1.672,50.356,15.783,51.398,22.108,29.29,11.876,17.414,0.521,65.789,47.034,18.756,2.461
1959Q4,528.21,290.268,263.983,,,26.285,42.424,1.068,130.189,129.579,9.74,1.695,50.606,16.043,51.495,21.408,30.087,12.08,18.007,0.61,66.397,47.385,19.012,0.391
1960Q1,542.125,298.89,270.904,,,27.986,43.696,1.024,133.578,133.032,9.777,1.732,49.748,16.227,55.549,24.164,31.385,12.224,19.161,0.546,66.985,47.696,19.289,0.524
1960Q2,543.396,301.871,273.553,,,28.318,44.347,1.28,130.869,130.322,9.871,1.729,50.715,16.379,51.628,22.116,29.512,12.24,17.272,0.547,67.588,48.025,19.563,-2.316
1960Q3,545.291,302.728,274.119,,,28.609,44.861,1.048,130.545,130.149,10.265,1.74,50.871,16.542,50.731,21.132,29.599,12.56,17.039,0.396,68.204,48.373,19.832,0.313
1960Q4,543.938,302.259,273.463,,,28.796,45.284,1.232,128.802,128.424,10.667,1.771,51.02,16.703,48.262,20.128,28.134,12.204,15.93,0.378,68.825,48.739,20.086,-3.741
1961Q1,546.222,303.256,273.933,,,29.323,45.776,1.572,129.265,128.958,11.008,1.851,52.327,16.918,46.854,19.956,26.898,11.892,15.006,0.307,69.496,49.124,20.372,-1.204
1961Q2,556.721,307.457,277.777,,,29.68,46.463,2.008,134.624,134.388,11.483,1.87,52.645,17.084,51.305,21.424,29.881,12.088,17.793,0.236,70.185,49.541,20.644,-1.175
1961Q3,567.148,312.464,282.396,,,30.068,47.256,2.172,138.639,138.328,11.903,1.916,53.325,17.286,53.899,22.716,31.183,12.136,19.047,0.311,70.961,49.991,20.97,0.516
1961Q4,582.407,319.083,288.547,,,30.536,48.377,2.304,145.475,144.977,12.542,1.969,54.495,17.512,58.46,24.716,33.744,12.656,21.088,0.499,71.776,50.472,21.304,-1.796
1962Q1,592.505,325.577,293.371,,,32.206,49.396,2.284,147.114,146.687,12.41,2.034,55.324,17.739,59.179,23.144,36.035,12.968,23.067,0.427,72.702,50.986,21.716,1.508
1962Q2,600.073,331.522,298.842,,,32.68,49.906,2.384,147.499,147.138,13.234,2.091,54.966,17.95,58.897,22.86,36.037,13.22,22.817,0.361,73.529,51.514,22.015,0.293
1962Q3,607.427,334.336,301.27,,,33.066,50.888,2.216,149.87,149.457,13.745,2.146,54.888,18.15,60.528,23.552,36.976,13.436,23.54,0.413,74.549,52.056,22.493,1.6
