Time,Gross domestic income,"Compensation of employees, paid",Wages and salaries,To persons,To the rest of the world,Supplements to wages and salaries,Taxes on production and imports,Less: Subsidies,Net operating surplus,Private enterprises,"Net interest and miscellaneous payments, domestic industries",Business current transfer payments (net),Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Taxes on corporate income,Profits after tax with inventory valuation and capital consumption adjustments,Net dividends,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Consumption of fixed capital,Private,Government,Statistical discrepancy
1962Q4,615.802,337.753,304.329,,,33.424,51.338,2.208,153.31,152.92,14.138,2.197,55.76,18.343,62.481,23.628,38.853,12.996,25.857,0.391,75.608,52.612,22.996,-3.521
1963Q1,623.85,342.717,308.025,,,34.692,52.005,2.032,154.642,153.925,13.92,2.436,55.974,18.542,63.053,23.72,39.333,13.844,25.489,0.718,76.518,53.182,23.337,-2.178
1963Q2,634.043,347.623,312.419,,,35.204,52.938,2.176,158.132,157.375,14.098,2.518,55.8,18.687,66.273,25.412,40.861,14.404,26.457,0.756,77.526,53.8,23.726,-4.291
1963Q3,643.45,352.707,316.908,,,35.799,53.919,2.296,160.617,159.772,14.521,2.535,56.229,18.842,67.645,26.116,41.529,14.632,26.897,0.844,78.503,54.467,24.036,0.994
1963Q4,654.309,358.837,322.303,,,36.534,54.682,2.432,163.698,162.761,14.977,2.619,57.589,18.836,68.739,26.716,42.023,14.888,27.135,0.938,79.524,55.183,24.341,-0.371
1964Q1,667.299,365.229,328.276,,,36.953,55.671,2.728,168.51,167.57,15.604,2.721,57.913,18.84,72.493,26.396,46.097,15.716,30.381,0.94,80.617,55.947,24.671,2.524
1964Q2,678.727,372.676,334.887,,,37.789,56.746,2.88,170.43,169.487,16.191,2.785,58.821,18.779,72.912,26.4,46.512,16.444,30.068,0.943,81.755,56.784,24.971,-0.053
1964Q3,691.1,380.065,341.463,,,38.602,57.881,2.648,172.856,172.152,16.829,3.207,59.287,18.863,73.967,26.98,46.987,16.792,30.195,0.704,82.945,57.693,25.252,0.931
1964Q4,700.907,386.147,346.741,,,39.406,58.778,2.66,174.403,173.528,17.295,3.306,60.503,18.841,73.583,26.516,47.067,17.34,29.727,0.875,84.239,58.676,25.562,-3.589
1965Q1,720.152,392.925,352.809,,,40.116,60.184,2.924,184.352,183.503,17.898,3.502,61.949,19.083,81.071,28.344,52.727,16.876,35.851,0.848,85.615,59.732,25.883,-2.362
1965Q2,732.681,399.92,358.872,,,41.048,60.34,2.972,188.247,187.343,18.289,3.504,63.177,19.272,83.101,29.232,53.869,17.588,36.281,0.903,87.146,60.888,26.258,-2.491
1965Q3,745.903,408.335,366.21,,,42.125,60.516,2.988,191.267,190.503,18.901,3.486,63.967,19.504,84.645,29.76,54.885,18.608,36.277,0.765,88.773,62.144,26.629,3.42
1965Q4,767.46,420.458,377.116,,,43.342,61.796,3.144,197.859,197.224,19.215,3.444,65.56,19.492,89.513,31.736,57.777,19.612,38.165,0.635,90.49,63.5,26.99,4.396
1966Q1,789.329,433.085,385.739,,,47.346,61.365,3.564,206.133,205.551,20.045,3.419,69.225,19.834,93.028,32.708,60.32,19.968,40.352,0.582,92.31,64.956,27.354,6.405
1966Q2,801.086,444.388,395.879,,,48.509,62.827,3.928,203.462,203.009,20.786,3.379,67.204,19.757,91.883,32.628,59.255,19.588,39.667,0.453,94.338,66.424,27.914,3.895
1966Q3,814.396,455.645,406.108,,,49.537,63.748,4.064,202.779,202.575,21.746,3.365,67.161,20.021,90.28,32.156,58.124,19.452,38.672,0.204,96.288,67.904,28.384,5.242
1966Q4,828.503,463.78,413.461,,,50.319,64.904,4.24,205.76,205.448,22.69,3.401,68.143,20.029,91.184,31.436,59.748,18.9,40.848,0.312,98.3,69.396,28.904,4.798
1967Q1,836.797,469.977,418.811,,,51.166,65.564,3.992,204.98,204.717,23.454,3.468,68.901,20.255,88.638,30.632,58.006,20.112,37.894,0.263,100.268,70.9,29.368,7.373
1967Q2,845.681,475.619,423.574,,,52.045,66.832,3.872,204.752,204.383,24.245,3.567,68.497,20.373,87.701,30.344,57.357,20.868,36.489,0.369,102.35,72.472,29.878,3.302
1967Q3,862.763,485.242,431.979,,,53.263,68.746,3.684,207.84,207.445,24.605,3.689,70.525,20.43,88.196,30.608,57.588,20.464,37.124,0.395,104.619,74.112,30.507,2.47
1967Q4,881.145,496.206,441.553,,,54.653,70.606,3.696,211.045,210.96,25.043,3.79,69.973,20.327,91.828,32.384,59.444,19.504,39.94,0.084,106.985,75.82,31.165,0.294
1968Q1,904.129,510.86,454.198,,,56.662,73.367,4.036,214.443,213.983,25.412,3.912,71.681,20.076,92.903,36.456,56.447,21.98,34.467,0.459,109.496,77.596,31.9,5.258
1968Q2,927.463,523.98,465.911,,,58.069,75.424,4.204,220.317,219.829,25.831,4.127,73.177,20.072,96.622,37.064,59.558,22.1,37.458,0.488,111.946,79.509,32.437,6.881
1968Q3,949.276,537.809,478.318,,,59.491,77.693,4.22,223.461,222.964,26.617,4.271,74.951,20.212,96.915,37.116,59.799,23.084,36.715,0.497,114.534,81.558,32.975,1.549
1968Q4,969.185,550.305,489.411,,,60.894,79.144,4.236,226.522,226.154,28.198,4.418,75.507,20.025,98.006,38.02,59.986,23.36,36.626,0.368,117.45,83.744,33.706,-1.155
1969Q1,988.736,562.744,499.046,,,63.698,80.589,4.34,229.278,229.106,31.326,4.716,75.63,20.219,97.215,38.7,58.515,23.004,35.511,0.172,120.465,86.067,34.398,4.601
1969Q2,1007.398,576.697,511.36,,,65.337,82.901,4.464,228.758,228.6,32.48,4.827,77.111,20.286,93.896,37.468,56.428,23.388,33.04,0.158,123.506,88.342,35.164,1.622
1969Q3,1028.459,593.413,526.409,,,67.004,85.217,4.668,228.171,228.047,34.127,4.837,77.967,20.446,90.67,36.068,54.602,23.276,31.326,0.124,126.325,90.571,35.755,1.497
1969Q4,1039.539,604.895,536.429,,,68.466,86.717,4.664,223.302,223.105,35.04,4.812,77.312,20.437,85.504,35.596,49.908,24.02,25.888,0.197,129.289,92.752,36.537,-1.392
1970Q1,1047.063,614.93,545.075,,,69.855,88.466,4.736,216.165,216.681,37.103,4.617,77.071,20.428,77.463,31.076,46.387,23.452,22.935,-0.516,132.239,94.886,37.352,4.137
1970Q2,1061.858,620.21,549.043,,,71.167,90.535,4.82,220.66,221.788,39.31,4.463,76.71,20.214,81.09,31.156,49.934,24.024,25.91,-1.128,135.272,97.089,38.184,5.517
1970Q3,1079.478,628.171,555.699,,,72.472,92.512,4.74,225.208,226.318,41.66,4.225,78.483,20.854,81.096,32.144,48.952,23.796,25.156,-1.11,138.327,99.359,38.968,6.58
1970Q4,1083.461,629.984,556.331,,,73.653,94.139,4.812,222.639,224.022,42.87,4.123,78.943,21.16,76.926,30.676,46.25,24.188,22.062,-1.382,141.511,101.698,39.813,5.147
1971Q1,1121.847,647.88,570.492,,,77.388,97.652,4.764,236.433,238.205,43.522,4.132,80.316,21.089,89.146,34.384,54.762,24.688,30.074,-1.772,144.646,104.104,40.542,13.309
1971Q2,1143.994,659.773,580.428,,,79.345,98.947,4.812,242.489,243.735,44.33,4.105,82.847,21.674,90.779,35.316,55.463,22.98,32.483,-1.246,147.597,106.479,41.118,12.277
1971Q3,1165.451,670.088,588.769,,,81.319,101.674,4.512,247.841,249.405,44.923,4.154,84.595,22.049,93.684,34.552,59.132,24.648,34.484,-1.564,150.361,108.822,41.538,12.224
1971Q4,1190.035,682.154,598.421,,,83.733,103.699,4.612,255.695,257.175,45.019,4.241,87.859,22.498,97.558,34.98,62.578,22.46,40.118,-1.48,153.099,111.134,41.965,0.262
1972Q1,1225.632,708.354,618.472,,,89.882,104.56,6.103,262.879,264.267,46.067,4.54,87.906,23.101,102.653,37.14,65.513,25.452,40.061,-1.388,155.942,113.414,42.528,4.977
1972Q2,1249.073,722.473,630.374,,,92.099,106.786,6.203,267.065,268.104,47.61,4.695,91.326,20.152,104.322,37.46,66.862,25.28,41.582,-1.04,158.952,115.957,42.996,17.296
1972Q3,1281.679,735.744,642.326,,,93.418,108.862,7.175,281.543,282.439,49.914,4.873,95.535,23.875,108.243,38.768,69.475,25.16,44.315,-0.897,162.705,118.762,43.943,8.887
1972Q4,1331.426,758.766,663.971,,,94.795,111.504,7.063,301.785,302.205,52.341,5.006,105.614,23.75,115.493,43.072,72.421,24.8,47.621,-0.42,166.434,121.831,44.603,-2.522
1973Q1,1370.82,785.423,683.364,,,102.059,114.6,5.944,306.251,307.606,53.384,5.576,104.144,23.491,121.012,46.016,74.996,25.7,49.296,-1.356,170.49,125.163,45.327,6.67
1973Q2,1399.511,803.227,700.201,,,103.026,116.185,5.704,310.409,312.166,55.786,5.889,109.942,23.343,117.205,46.036,71.169,27.168,44.001,-1.757,175.393,129.026,46.367,14.376
1973Q3,1431.358,820.42,716.177,,,104.243,118.397,4.717,316.018,318.193,59.792,5.648,113.788,22.34,116.625,43.984,72.641,28.468,44.173,-2.175,181.24,133.421,47.82,2.48
1973Q4,1475.234,841.71,735.356,,,106.354,119.698,4.555,330.772,333.316,62.847,5.849,122.206,23.291,119.124,46.492,72.632,28.456,44.176,-2.544,187.608,138.346,49.262,1.056
1974Q1,1491.146,858.356,748.203,,,110.153,120.806,3.556,321.232,323.691,67.058,6.297,115.735,23.517,111.085,44.604,66.481,27.444,39.037,-2.46,194.309,143.802,50.506,0.063
1974Q2,1520.365,878.511,765.319,,,113.192,124.068,2.892,318.553,320.445,71.558,6.569,108.637,22.92,110.761,46.664,64.097,30.672,33.425,-1.892,202.126,149.727,52.398,9.691
1974Q3,1556.456,900.218,783.153,,,117.065,127.054,3.172,321.175,323.636,75.132,6.971,111.0,23.273,107.26,51.512,55.748,29.844,25.904,-2.461,211.181,156.12,55.061,3.57
1974Q4,1583.154,913.86,792.541,,,121.319,127.68,3.608,325.265,328.236,80.596,7.311,113.481,23.011,103.837,46.16,57.677,28.056,29.621,-2.971,219.957,162.982,56.975,16.524
1975Q1,1600.724,918.423,791.963,,,126.46,128.821,4.22,328.955,332.65,85.007,8.356,112.735,22.662,103.89,38.312,65.578,32.216,33.362,-3.694,228.744,170.311,58.433,15.392
1975Q2,1637.971,931.218,800.41,,,130.808,133.011,4.264,342.228,346.113,84.706,9.097,114.317,22.405,115.588,41.42,74.168,31.376,42.792,-3.884,235.778,176.635,59.142,13.882
1975Q3,1700.816,956.033,821.336,,,134.697,138.199,4.564,369.015,373.287,85.662,9.276,120.708,22.247,135.395,52.024,83.371,31.044,52.327,-4.272,242.132,181.953,60.179,9.005
1975Q4,1746.705,983.422,845.815,,,137.607,141.137,4.928,379.684,384.107,85.603,9.415,125.194,21.856,142.038,53.3,88.738,32.508,56.23,-4.423,247.391,186.265,61.126,15.126
1976Q1,1801.802,1014.752,871.255,,,143.497,141.674,5.136,398.585,401.007,84.328,9.549,126.395,21.636,159.099,60.844,98.255,31.78,66.475,-2.422,251.926,189.571,62.356,18.685
1976Q2,1831.4,1035.541,889.419,,,146.122,144.856,4.836,399.141,401.561,86.518,9.394,128.627,20.455,156.567,59.38,97.187,35.912,61.275,-2.42,256.699,193.669,63.029,20.932
1976Q3,1869.193,1058.412,908.489,,,149.923,147.693,5.068,405.464,407.775,87.666,9.049,132.685,20.023,158.351,58.98,99.371,37.304,62.067,-2.31,262.692,198.561,64.131,17.364
1976Q4,1908.639,1084.831,929.965,,,154.866,151.329,5.46,408.351,410.74,89.734,8.55,136.192,19.122,157.143,58.468,98.675,38.704,59.971,-2.389,269.589,204.247,65.342,25.634
1977Q1,1960.906,1113.341,950.105,,,163.236,154.836,5.82,421.012,423.625,95.454,8.16,138.592,16.446,164.974,62.92,102.054,37.636,64.418,-2.613,277.537,210.725,66.813,27.742
1977Q2,2035.208,1150.353,980.97,,,169.383,158.028,5.856,447.023,449.745,99.365,7.823,140.511,16.315,185.731,68.42,117.311,38.44,78.871,-2.722,285.66,217.476,68.184,20.701
1977Q3,2097.868,1182.171,1007.568,,,174.603,161.532,6.416,466.826,470.042,104.159,8.029,142.368,15.605,199.882,70.84,129.042,39.968,89.074,-3.216,293.756,224.499,69.256,20.605
1977Q4,2155.534,1217.684,1038.237,,,179.447,164.26,10.308,481.534,484.813,108.813,8.312,156.496,15.097,196.095,71.836,124.259,42.464,81.795,-3.28,302.364,231.796,70.568,8.736
1978Q1,2199.97,1251.01,1063.944,,,187.066,166.912,8.68,479.13,482.334,111.065,9.353,158.524,15.891,187.502,66.192,121.31,43.56,77.75,-3.203,311.598,239.366,72.232,2.789
1978Q2,2309.587,1299.226,1106.141,,,193.085,173.059,8.368,523.671,526.388,114.57,10.035,166.115,15.625,220.044,80.008,140.036,43.064,96.972,-2.718,321.999,247.493,74.506,22.047
1978Q3,2365.857,1336.958,1138.095,,,198.862,169.711,8.288,535.497,536.878,116.923,10.732,168.342,17.124,223.757,80.228,143.529,48.584,94.945,-1.381,331.98,256.178,75.802,29.196
1978Q4,2437.684,1380.257,1174.495,,,205.762,173.91,10.408,550.723,552.932,121.595,11.38,170.915,17.545,231.497,84.98,146.517,51.252,95.265,-2.208,343.202,265.419,77.783,39.265
1979Q1,2501.832,1422.587,1208.636,,,213.951,176.441,8.352,556.377,558.667,126.8,12.283,180.057,17.267,222.26,81.924,140.336,50.51,89.826,-2.29,354.779,275.218,79.56,24.778
1979Q2,2550.227,1454.82,1234.452,,,220.369,178.493,8.776,558.465,560.904,133.741,12.699,179.181,15.625,219.658,82.112,137.546,51.229,86.317,-2.439,367.225,285.343,81.882,41.02
1979Q3,2609.135,1496.791,1269.457,,,227.334,180.902,8.132,559.265,561.862,141.5,12.958,180.733,15.366,211.304,81.036,130.268,49.404,80.864,-2.597,380.308,295.793,84.515,58.431
1979Q4,2668.123,1535.01,1300.996,,,234.014,184.568,8.864,564.2,567.669,155.515,13.069,177.777,16.112,205.197,77.876,127.321,52.769,74.552,-3.469,393.209,306.569,86.64,55.761
1980Q1,2722.05,1573.692,1333.875,,,239.817,189.513,9.2,561.296,564.85,171.18,13.159,167.566,15.792,197.152,85.388,111.764,53.434,58.331,-3.554,406.75,317.67,89.079,67.792
1980Q2,2741.686,1599.268,1353.977,,,245.291,196.896,9.624,534.178,538.364,177.65,13.392,160.309,17.096,169.917,64.932,104.985,67.421,37.564,-4.186,420.968,329.033,91.936,55.666
1980Q3,2823.75,1628.697,1377.4,,,251.298,204.294,10.072,565.468,569.986,183.828,13.709,173.401,19.867,179.182,72.144,107.038,56.555,50.483,-4.518,435.363,340.656,94.706,32.733
1980Q4,2964.663,1687.725,1428.827,,,258.898,210.617,10.304,625.988,631.656,203.396,15.728,185.005,23.16,204.367,79.472,124.895,59.595,65.301,-5.668,450.637,352.541,98.096,20.894
1981Q1,3064.9,1739.768,1467.818,,,271.949,230.842,10.556,639.304,645.447,203.837,16.441,188.213,23.963,212.994,78.14,134.854,64.098,70.756,-6.143,465.542,364.687,100.855,59.306
1981Q2,3127.116,1774.906,1496.839,,,278.067,235.496,10.704,646.987,651.123,223.039,16.56,176.367,23.335,211.822,69.076,142.746,67.062,75.685,-4.136,480.431,376.443,103.989,35.416
1981Q3,3231.849,1815.241,1530.725,,,284.517,237.466,11.12,695.744,700.382,249.296,17.106,182.286,23.085,228.61,71.648,156.962,70.595,86.367,-4.638,494.517,387.808,106.71,28.761
1981Q4,3253.483,1840.808,1550.733,,,290.075,238.772,13.512,678.989,682.941,257.368,17.548,171.848,24.74,211.436,62.396,149.04,71.998,77.042,-3.952,508.426,398.783,109.643,27.335
