Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods.1,Services.1,Imports,Goods.2,Services.2,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1947Q1,243.164,156.161,95.594,20.722,74.872,60.567,35.854,35.359,24.818,7.889,14.927,2.002,10.541,0.495,10.875,18.394,15.728,2.666,7.519,5.612,1.907,40.274,26.956,22.79,4.166,13.318
1947Q2,245.968,160.031,98.248,21.351,76.897,61.783,34.505,35.744,25.171,7.947,15.226,1.998,10.573,-1.24,11.294,19.497,16.732,2.765,8.203,6.292,1.911,40.138,26.424,21.105,5.319,13.714
1947Q3,249.585,163.543,100.419,21.77,78.649,63.124,34.911,37.827,25.361,8.28,15.044,2.037,12.466,-2.917,11.77,19.433,16.792,2.641,7.663,5.828,1.835,39.361,25.038,19.985,5.053,14.324
1947Q4,259.745,167.672,103.453,23.488,79.965,64.219,43.25,41.794,26.54,8.432,16.067,2.041,15.254,1.456,9.289,17.636,15.136,2.5,8.347,6.16,2.187,39.534,24.525,20.41,4.115,15.009
1948Q1,265.742,170.372,105.093,23.547,81.546,65.279,47.202,43.576,28.231,8.833,17.334,2.064,15.345,3.626,7.293,16.917,14.576,2.341,9.624,7.34,2.284,40.875,25.35,20.685,4.666,15.525
1948Q2,272.567,174.142,107.188,24.019,83.169,66.954,50.336,44.477,28.05,9.327,16.658,2.065,16.427,5.859,5.205,15.241,13.004,2.237,10.036,7.644,2.392,42.884,26.585,20.555,6.03,16.299
1948Q3,279.196,177.072,108.741,25.277,83.465,68.33,52.516,45.365,29.081,9.854,17.13,2.097,16.283,7.152,4.949,15.405,13.128,2.277,10.456,7.708,2.748,44.66,27.485,20.716,6.769,17.174
1948Q4,280.366,177.928,108.657,24.971,83.686,69.271,51.334,45.337,30.16,10.09,17.998,2.072,15.177,5.997,4.501,14.625,12.352,2.273,10.124,7.536,2.588,46.603,28.744,21.593,7.15,17.859
1949Q1,275.034,176.831,107.167,24.436,82.731,69.664,43.14,42.752,28.583,9.736,16.826,2.021,14.169,0.388,6.478,16.082,13.676,2.406,9.604,7.164,2.44,48.585,30.182,22.461,7.72,18.403
1949Q2,271.351,178.446,108.282,26.389,81.894,70.164,36.241,41.389,27.476,9.377,16.09,2.008,13.913,-5.148,6.283,15.647,13.168,2.479,9.364,6.852,2.512,50.381,31.243,22.753,8.49,19.138
1949Q3,272.889,177.806,107.569,27.313,80.255,70.237,39.549,40.856,26.112,8.915,15.176,2.021,14.744,-1.307,5.179,14.115,11.884,2.231,8.936,6.62,2.316,50.356,30.476,22.546,7.93,19.88
1949Q4,270.627,180.249,109.305,28.356,80.949,70.944,37.468,42.167,25.628,8.684,14.836,2.108,16.538,-4.699,2.999,12.091,10.124,1.967,9.092,6.86,2.232,49.91,29.79,21.602,8.188,20.121
1950Q1,280.828,182.92,110.8,29.335,81.465,72.12,46.749,44.725,26.386,9.075,15.13,2.181,18.339,2.024,2.203,11.704,9.624,2.08,9.501,7.184,2.317,48.956,28.544,20.89,7.654,20.412
1950Q2,290.383,186.806,112.587,29.799,82.788,74.219,52.291,49.458,28.855,9.502,17.114,2.239,20.603,2.833,1.643,11.872,9.752,2.12,10.229,7.808,2.421,49.643,28.924,20.95,7.973,20.72
1950Q3,308.153,200.505,123.987,37.355,86.632,76.518,58.641,54.465,31.91,10.269,19.343,2.298,22.555,4.177,-0.74,12.293,10.18,2.113,13.033,10.464,2.569,49.746,28.428,22.696,5.732,21.319
1950Q4,319.945,197.946,119.944,33.292,86.652,78.002,68.441,54.397,32.919,10.982,19.609,2.328,21.478,14.044,-0.154,13.531,11.256,2.275,13.685,10.868,2.817,53.713,31.776,26.061,5.715,21.937
1951Q1,336.0,209.207,127.605,35.638,91.966,81.603,64.582,54.196,33.139,11.467,19.383,2.289,21.057,10.386,0.177,15.043,12.508,2.535,14.866,11.772,3.094,62.033,39.574,33.539,6.035,22.46
1951Q2,344.09,204.942,122.18,30.735,91.445,82.763,67.383,52.591,34.124,12.151,19.672,2.301,18.467,14.792,1.943,17.121,14.308,2.813,15.178,12.04,3.138,69.821,46.602,40.264,6.338,23.22
1951Q3,351.385,207.616,123.364,30.193,93.171,84.252,61.981,52.241,34.843,12.28,20.198,2.365,17.398,9.74,3.742,18.052,15.096,2.956,14.31,10.808,3.502,78.046,54.303,48.081,6.222,23.743
1951Q4,356.178,211.59,125.845,30.391,95.454,85.745,57.084,52.365,34.642,11.918,20.242,2.482,17.723,4.719,4.19,18.18,15.06,3.12,13.99,10.084,3.906,83.314,59.311,52.874,6.437,24.003
1952Q1,359.82,212.969,125.538,30.776,94.762,87.431,58.132,53.4,35.131,12.029,20.418,2.684,18.269,4.732,3.721,18.679,15.416,3.263,14.958,10.696,4.262,84.998,60.899,53.49,7.409,24.098
1952Q2,361.03,217.088,127.608,31.007,96.601,89.48,53.004,54.528,35.765,12.075,20.821,2.869,18.763,-1.523,1.951,16.581,13.44,3.141,14.63,10.604,4.026,88.987,64.067,56.979,7.088,24.919
1952Q3,367.701,219.553,127.941,29.467,98.474,91.612,57.22,51.646,32.892,12.15,17.671,3.071,18.754,5.574,-0.004,15.246,12.4,2.846,15.25,10.768,4.482,90.931,66.178,58.675,7.503,24.753
1952Q4,380.812,227.67,134.055,33.723,100.331,93.616,60.737,55.463,35.816,12.642,19.867,3.307,19.647,5.274,-1.013,15.329,12.54,2.789,16.342,11.284,5.058,93.418,68.116,60.506,7.61,25.302
1953Q1,387.98,231.22,135.704,35.186,100.517,95.516,61.663,57.773,37.791,13.061,21.245,3.486,19.982,3.89,-0.667,15.128,12.132,2.996,15.795,10.988,4.807,95.764,69.659,61.306,8.353,26.105
1953Q2,391.749,232.96,135.574,35.019,100.556,97.386,62.115,58.538,38.465,13.499,21.306,3.66,20.073,3.577,-1.251,15.196,12.308,2.888,16.447,11.516,4.931,97.925,71.95,61.975,9.975,25.976
1953Q3,391.171,233.666,134.42,34.577,99.842,99.247,61.435,59.104,39.614,13.749,22.125,3.74,19.49,2.331,-0.552,15.755,12.864,2.891,16.307,11.152,5.155,96.622,69.969,60.964,9.004,26.653
1953Q4,385.97,233.112,133.642,33.683,99.959,99.47,56.446,58.452,39.2,13.971,21.446,3.783,19.251,-2.006,-0.335,15.172,12.344,2.828,15.507,10.244,5.263,96.747,69.519,60.29,9.229,27.228
1954Q1,385.345,235.154,134.172,32.91,101.261,100.982,55.717,57.683,38.332,13.92,20.57,3.842,19.351,-1.966,-0.356,14.424,11.588,2.836,14.78,9.976,4.804,94.831,66.734,57.326,9.408,28.097
1954Q2,386.121,237.885,134.97,33.646,101.324,102.915,55.449,58.827,38.159,13.877,20.424,3.859,20.668,-3.378,0.254,16.438,13.62,2.818,16.184,11.048,5.136,92.534,63.692,55.214,8.478,28.842
1954Q3,390.996,240.303,135.429,33.233,102.196,104.874,58.971,61.062,38.879,13.852,21.131,3.896,22.183,-2.091,0.574,15.878,12.9,2.978,15.304,10.224,5.08,91.148,61.352,53.215,8.137,29.796
1954Q4,399.734,245.093,138.495,35.064,103.431,106.598,62.139,62.455,38.89,13.811,21.123,3.956,23.565,-0.316,1.145,16.605,13.608,2.997,15.46,10.164,5.296,91.356,61.244,52.038,9.206,30.112
1955Q1,413.073,251.398,142.939,38.437,104.502,108.459,68.702,64.899,39.48,14.274,21.144,4.062,25.419,3.804,1.104,17.273,14.18,3.093,16.169,11.104,5.065,91.869,60.72,52.356,8.364,31.149
1955Q2,421.532,256.466,146.831,40.709,106.122,109.634,72.688,68.068,42.063,14.744,23.119,4.201,26.005,4.62,-0.155,16.942,13.8,3.142,17.097,11.232,5.865,92.533,60.849,51.867,8.982,31.684
1955Q3,430.221,260.651,149.363,42.421,106.942,111.288,74.747,70.452,44.826,15.438,25.01,4.378,25.626,4.295,0.724,18.145,14.78,3.365,17.421,11.296,6.125,94.099,61.923,53.076,8.847,32.176
1955Q4,437.092,264.639,150.459,41.413,109.046,114.179,78.882,71.65,47.085,16.172,26.28,4.633,24.565,7.233,0.24,18.349,14.936,3.413,18.109,12.476,5.633,93.331,60.57,52.152,8.417,32.762
1956Q1,439.746,266.156,150.216,39.674,110.541,115.94,78.303,71.904,47.772,17.415,25.442,4.915,24.132,6.398,0.44,19.365,15.9,3.465,18.925,13.02,5.905,94.848,60.989,52.758,8.231,33.859
1956Q2,446.01,268.834,151.111,39.819,111.291,117.723,77.02,73.435,49.062,17.982,25.92,5.16,24.374,3.585,1.909,20.882,17.196,3.686,18.973,12.692,6.281,98.247,63.516,54.943,8.574,34.731
1956Q3,451.191,272.075,152.117,39.685,112.432,119.958,78.267,74.698,50.746,18.59,26.822,5.334,23.952,3.569,2.569,21.822,18.052,3.77,19.253,12.62,6.633,98.279,62.796,55.09,7.706,35.483
