Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods.1,Services.1,Imports,Goods.2,Services.2,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1956Q4,460.463,277.445,155.173,41.497,113.676,122.272,77.145,74.902,51.41,18.733,27.188,5.489,23.491,2.244,4.527,23.068,19.076,3.992,18.541,12.88,5.661,101.345,65.158,57.042,8.116,36.187
1957Q1,469.779,281.889,158.014,42.597,115.417,123.876,77.728,75.566,52.465,18.77,28.203,5.492,23.101,2.162,4.819,24.919,20.64,4.279,20.1,13.188,6.912,105.342,67.892,58.831,9.061,37.45
1957Q2,472.025,284.176,158.649,42.17,116.479,125.528,77.907,75.25,52.64,18.992,28.112,5.536,22.61,2.657,4.099,24.369,20.084,4.285,20.27,13.376,6.894,105.842,67.524,59.639,7.885,38.318
1957Q3,479.49,288.75,161.229,41.876,119.353,127.521,79.339,76.53,54.066,19.096,29.334,5.636,22.464,2.808,3.997,23.759,19.416,4.343,19.762,13.06,6.702,107.405,68.355,60.667,7.688,39.05
1957Q4,474.864,290.368,160.519,41.467,119.052,129.85,71.045,75.563,53.215,18.942,28.595,5.678,22.349,-4.518,3.388,23.022,18.108,4.914,19.634,13.54,6.094,110.062,70.043,60.626,9.417,40.019
1958Q1,467.54,289.888,159.257,39.396,119.862,130.63,66.73,70.739,49.369,18.084,25.526,5.76,21.37,-4.009,1.079,20.534,16.56,3.974,19.455,12.58,6.875,109.843,68.738,60.841,7.897,41.106
1958Q2,471.978,292.819,159.819,38.636,121.183,133.0,65.065,69.3,47.83,17.594,24.365,5.871,21.469,-4.235,0.471,20.546,16.328,4.218,20.075,12.668,7.407,113.624,71.549,61.977,9.572,42.075
1958Q3,485.841,297.893,162.422,39.396,123.026,135.471,71.999,70.452,47.435,17.259,24.136,6.04,23.017,1.547,0.856,20.595,16.448,4.147,19.739,12.78,6.959,115.093,71.885,62.633,9.252,43.208
1958Q4,499.555,301.823,164.773,40.693,124.08,137.049,80.001,74.766,49.332,17.579,25.482,6.272,25.434,5.235,-0.26,20.563,16.32,4.243,20.823,13.78,7.043,117.992,73.912,63.429,10.483,44.08
1959Q1,510.33,309.449,169.723,43.649,126.074,139.726,83.166,79.29,50.942,17.397,27.077,6.469,28.348,3.876,0.519,21.915,15.552,6.363,21.396,14.484,6.912,117.195,72.367,61.137,11.23,44.829
1959Q2,522.653,315.505,172.617,45.465,127.152,142.888,89.381,82.093,52.735,18.037,28.059,6.64,29.358,7.288,-0.768,21.776,15.908,5.868,22.544,15.532,7.012,118.535,73.58,60.29,13.29,44.955
1959Q3,525.034,320.725,174.524,46.336,128.188,146.201,83.606,83.222,54.421,18.644,29.118,6.659,28.801,0.384,1.211,24.079,17.504,6.575,22.868,15.796,7.072,119.492,74.532,61.398,13.134,44.96
1959Q4,528.6,322.842,173.564,44.103,129.461,149.277,86.524,82.404,54.398,18.519,29.127,6.752,28.006,4.12,0.627,23.131,16.868,6.263,22.504,15.428,7.076,118.608,73.836,60.956,12.88,44.772
1960Q1,542.648,326.364,175.06,45.455,129.605,151.304,96.476,85.276,56.322,19.36,30.089,6.874,28.954,11.2,2.858,26.145,19.54,6.605,23.288,15.7,7.588,116.951,70.981,60.024,10.957,45.97
1960Q2,541.08,332.208,178.396,46.434,131.961,153.813,87.096,83.872,57.188,19.473,30.749,6.967,26.684,3.224,3.395,26.85,20.464,6.386,23.455,15.888,7.567,118.38,71.066,59.522,11.544,47.314
1960Q3,545.604,332.126,177.503,45.922,131.58,154.623,86.377,82.057,56.165,19.418,29.471,7.276,25.892,4.32,4.682,27.561,20.928,6.633,22.879,15.056,7.823,122.419,74.161,61.963,12.198,48.258
1960Q4,540.197,334.024,177.103,44.69,132.413,156.921,75.963,81.775,55.882,20.022,28.407,7.452,25.893,-5.812,5.88,27.622,20.88,6.742,21.742,14.236,7.506,124.33,75.291,62.094,13.197,49.039
1961Q1,545.018,334.52,175.641,42.24,133.401,158.878,78.378,80.926,55.012,19.929,27.408,7.675,25.914,-2.548,5.902,27.56,21.2,6.36,21.658,14.064,7.594,126.218,75.281,63.393,11.888,50.936
1961Q2,555.545,339.455,177.564,43.32,134.245,161.891,84.108,82.316,56.198,19.634,28.635,7.928,26.118,1.792,4.727,26.627,20.052,6.575,21.899,14.256,7.643,127.254,76.174,63.357,12.817,51.08
1961Q3,567.664,342.332,179.176,44.58,134.596,163.156,90.917,84.261,56.712,19.665,28.944,8.102,27.55,6.656,4.453,27.779,20.996,6.783,23.326,15.76,7.566,129.961,78.136,64.961,13.175,51.825
1961Q4,580.612,349.593,182.85,46.683,136.167,166.742,92.931,86.935,58.473,19.632,30.628,8.212,28.462,5.996,4.572,28.442,21.54,6.902,23.87,16.132,7.738,133.516,79.925,66.462,13.464,53.591
1962Q1,594.013,354.822,185.534,47.702,137.832,169.287,98.074,88.666,59.656,20.03,31.401,8.225,29.01,9.408,4.01,28.325,21.192,7.133,24.314,16.44,7.874,137.107,83.331,69.164,14.167,53.776
1962Q2,600.366,360.458,187.792,49.047,138.745,172.666,96.706,91.262,61.356,20.828,32.197,8.33,29.906,5.444,4.777,29.662,22.256,7.406,24.884,16.92,7.964,138.426,84.127,68.916,15.211,54.299
1962Q3,609.027,364.333,189.527,49.567,139.96,174.806,98.16,91.972,62.101,21.355,32.321,8.425,29.871,6.188,4.482,29.593,22.264,7.329,25.111,17.084,8.027,142.052,87.019,70.445,16.573,55.033
1962Q4,612.28,370.618,193.023,51.546,141.477,177.594,94.968,91.604,61.819,20.9,32.304,8.615,29.785,3.364,3.133,28.683,21.122,7.561,25.55,17.032,8.518,143.562,87.596,70.278,17.318,55.966
1963Q1,621.672,374.283,195.047,52.589,142.458,179.236,99.689,92.821,61.973,20.233,32.872,8.867,30.848,6.868,3.976,29.161,21.29,7.871,25.185,16.916,8.269,143.724,86.208,69.388,16.82,57.517
1963Q2,629.752,378.413,196.685,53.881,142.803,181.728,101.65,96.814,63.883,21.233,33.467,9.183,32.93,4.836,5.558,31.448,23.448,8.0,25.89,17.568,8.322,144.132,85.764,68.896,16.868,58.368
1963Q3,644.444,385.394,199.868,54.701,145.166,185.526,104.612,98.896,65.712,21.436,34.894,9.381,33.184,5.716,4.511,31.215,23.764,7.451,26.704,18.152,8.552,149.927,89.876,70.846,19.03,60.051
1963Q4,653.938,390.049,201.018,55.739,145.279,189.031,107.189,102.125,67.669,21.891,36.238,9.54,34.456,5.064,5.711,32.474,24.878,7.596,26.764,18.216,8.548,150.989,89.653,70.88,18.773,61.336
1964Q1,669.822,399.581,206.646,57.995,148.651,192.935,110.474,105.35,69.113,22.425,37.146,9.542,36.237,5.124,7.213,34.192,26.148,8.044,26.978,18.344,8.634,152.554,90.084,70.383,19.702,62.469
1964Q2,678.674,407.536,210.932,59.476,151.455,196.604,110.518,106.062,71.075,23.45,37.939,9.686,34.988,4.456,6.305,34.03,26.034,7.996,27.726,19.08,8.646,154.314,90.125,69.375,20.75,64.189
1964Q3,692.031,416.422,216.255,61.378,154.877,200.168,112.631,107.939,73.406,24.25,39.264,9.892,34.533,4.692,6.946,35.375,26.988,8.387,28.429,19.72,8.709,156.033,90.847,70.153,20.694,65.186
1964Q4,697.319,418.987,215.177,59.377,155.8,203.811,114.984,109.968,75.324,24.823,40.39,10.111,34.644,5.016,7.195,36.48,27.898,8.582,29.285,20.424,8.861,156.152,89.968,69.002,20.967,66.184
1965Q1,717.79,429.711,222.676,64.915,157.76,207.035,126.542,114.998,80.23,26.142,43.542,10.546,34.768,11.544,4.512,32.969,24.484,8.485,28.457,19.552,8.905,157.025,89.493,68.031,21.462,67.532
1965Q2,730.191,436.642,225.586,64.818,160.768,211.056,127.052,118.484,83.382,28.166,44.296,10.92,35.102,8.568,6.688,38.367,28.98,9.387,31.679,22.436,9.243,159.808,90.116,68.163,21.953,69.692
1965Q3,749.323,445.804,230.769,66.7,164.069,215.035,131.237,121.945,86.686,28.535,46.825,11.327,35.258,9.292,5.521,37.551,28.116,9.435,32.03,22.808,9.222,166.761,94.476,71.157,23.319,72.285
1965Q4,771.857,459.736,239.671,69.126,170.545,220.065,133.752,126.168,90.645,30.442,48.457,11.746,35.523,7.584,5.75,39.698,30.314,9.384,33.948,24.192,9.756,172.619,98.697,74.979,23.718,73.922
1966Q1,795.734,470.136,246.406,72.312,174.094,223.73,144.2,130.328,94.382,31.098,51.069,12.215,35.946,13.872,4.367,39.356,30.658,8.698,34.99,24.852,10.138,177.032,101.202,77.48,23.722,75.83
1966Q2,804.981,475.189,246.958,69.721,177.238,228.23,143.501,131.185,96.823,31.172,53.024,12.628,34.362,12.316,4.632,40.872,30.432,10.44,36.24,25.612,10.628,181.659,104.01,79.135,24.875,77.649
1966Q3,819.638,484.291,252.093,72.323,179.77,232.198,143.194,131.342,98.325,31.907,53.417,13.0,33.018,11.852,2.687,40.857,30.974,9.883,38.171,27.16,11.011,189.466,109.934,85.613,24.321,79.533
1966Q4,833.302,490.06,253.02,72.625,180.394,237.04,145.855,129.351,99.163,31.217,54.581,13.366,30.188,16.504,3.765,42.594,32.292,10.302,38.829,27.712,11.117,193.621,111.155,87.657,23.498,82.466
1967Q1,844.17,494.317,253.477,71.102,182.375,240.841,142.811,127.388,97.999,31.668,52.713,13.618,29.389,15.423,4.453,43.886,32.889,10.997,39.432,27.704,11.728,202.588,117.935,92.232,25.703,84.654
1967Q2,848.983,503.458,258.504,74.483,184.021,244.953,137.495,131.154,98.297,30.934,53.577,13.786,32.857,6.341,4.219,43.239,32.647,10.592,39.02,26.796,12.224,203.811,117.918,93.499,24.419,85.893
1967Q3,865.233,510.717,260.475,74.699,185.777,250.241,142.835,133.571,98.785,31.476,53.193,14.116,34.786,9.263,3.302,42.845,31.954,10.892,39.543,27.012,12.531,208.379,120.961,96.659,24.302,87.418
1967Q4,881.439,518.249,263.506,75.642,187.864,254.743,147.653,139.22,101.744,31.966,55.286,14.492,37.476,8.433,2.244,43.896,32.697,11.199,41.652,29.532,12.12,213.293,123.209,97.745,25.465,90.084
1968Q1,909.387,536.297,274.394,80.859,193.535,261.903,152.288,143.85,105.582,33.051,57.601,14.93,38.268,8.438,1.054,45.452,33.966,11.486,44.399,32.116,12.283,219.749,126.409,100.462,25.947,93.34
1968Q2,934.344,550.014,280.853,83.084,197.769,269.161,158.943,144.862,105.299,33.184,56.698,15.417,39.563,14.082,1.749,47.165,35.358,11.807,45.416,33.152,12.264,223.637,127.154,101.515,25.639,96.483
1968Q3,950.825,566.122,290.386,87.545,202.841,275.736,155.683,148.003,107.609,33.232,58.581,15.796,40.394,7.681,1.65,49.891,37.106,12.785,48.24,35.408,12.832,227.37,128.537,101.469,27.068,98.832
1968Q4,968.03,574.977,292.833,87.826,205.007,282.144,160.76,154.754,112.182,34.762,61.233,16.187,42.572,6.007,0.945,49.116,36.455,12.661,48.17,35.108,13.062,231.347,129.749,101.98,27.769,101.598
1969Q1,993.337,587.005,298.845,90.011,208.834,288.161,172.388,160.899,115.993,35.794,63.689,16.51,44.906,11.489,0.239,44.042,32.063,11.979,43.804,30.772,13.032,233.705,129.608,101.262,28.346,104.096
1969Q2,1009.02,598.337,302.664,90.448,212.216,295.673,172.721,163.499,118.368,36.671,64.691,17.006,45.13,9.222,1.104,53.775,40.446,13.329,52.671,39.116,13.555,236.859,129.782,100.86,28.922,107.076
1969Q3,1029.956,608.626,306.616,90.628,215.988,302.01,177.564,167.37,122.408,38.931,66.122,17.355,44.962,10.194,1.231,53.596,39.96,13.636,52.365,38.536,13.829,242.535,133.392,103.448,29.944,109.143
1969Q4,1038.147,620.586,310.588,90.844,219.744,309.998,171.573,165.787,123.284,39.399,66.149,17.736,42.503,5.787,3.149,56.275,42.508,13.767,53.126,38.828,14.298,242.838,131.991,102.7,29.291,110.848
1970Q1,1051.2,631.685,314.095,89.611,224.484,317.59,168.113,166.289,123.796,39.49,66.401,17.905,42.493,1.823,3.514,57.031,43.416,13.614,53.517,39.348,14.169,247.889,133.559,102.837,30.723,114.33
1970Q2,1067.375,641.57,317.554,91.006,226.548,324.016,171.455,166.374,125.008,40.313,66.748,17.948,41.365,5.081,5.207,60.411,45.576,14.835,55.204,40.068,15.136,249.143,131.76,99.604,32.156,117.383
1970Q3,1086.059,653.482,321.727,92.011,229.716,331.755,173.904,168.821,126.255,40.578,67.661,18.016,42.566,5.083,4.088,60.519,45.274,15.245,56.431,41.18,15.251,254.584,132.36,99.914,32.446,122.224
1970Q4,1088.608,660.161,321.8,87.324,234.475,338.361,166.754,170.738,123.52,40.767,64.834,17.918,47.218,-3.984,2.985,60.873,45.881,14.992,57.888,42.824,15.064,258.708,133.54,100.486,33.054,125.168
1971Q1,1135.156,679.186,333.88,98.052,235.828,345.307,189.495,177.241,126.281,41.504,66.644,18.133,50.961,12.254,4.57,63.221,46.517,16.704,58.651,43.376,15.275,261.905,133.347,99.478,33.869,128.558
1971Q2,1156.271,693.225,339.82,100.989,238.832,353.404,197.329,186.455,129.481,42.335,68.69,18.456,56.974,10.875,-0.401,62.894,46.369,16.525,63.296,47.44,15.856,266.118,134.252,97.839,36.412,131.867
1971Q3,1177.675,705.599,343.866,103.442,240.424,361.732,202.058,191.87,131.19,43.118,69.26,18.812,60.68,10.188,0.236,65.717,49.021,16.696,65.482,49.64,15.842,269.783,135.604,97.432,38.171,134.18
1971Q4,1190.297,721.739,350.896,107.302,243.595,370.843,198.411,198.706,134.711,43.758,71.642,19.312,63.995,-0.295,-1.92,60.019,42.877,17.142,61.939,45.744,16.195,272.067,134.712,97.231,37.481,137.355
1972Q1,1230.609,738.948,357.744,110.704,247.04,381.204,212.968,209.741,140.585,45.781,74.881,19.923,69.156,3.227,-3.534,68.639,50.44,18.199,72.173,55.092,17.081,282.228,141.416,101.361,40.055,140.811
1972Q2,1266.369,757.364,368.368,114.066,254.302,388.996,226.798,214.8,143.976,46.607,76.946,20.424,70.824,11.998,-4.258,67.152,49.696,17.456,71.409,54.092,17.317,286.464,144.235,103.31,40.925,142.229
1972Q3,1290.566,775.799,377.675,117.591,260.084,398.123,233.09,219.375,147.015,47.314,78.938,20.763,72.36,13.715,-2.638,71.453,52.52,18.933,74.09,57.288,16.802,284.316,138.763,97.727,41.036,145.552
1972Q4,1328.904,800.502,391.473,123.416,268.057,409.029,239.715,232.224,154.967,48.99,84.78,21.197,77.257,7.491,-3.061,76.129,57.688,18.441,79.19,61.264,17.926,291.749,142.167,100.456,41.711,149.582
1973Q1,1377.49,825.007,407.267,131.812,275.456,417.739,254.313,243.763,162.839,51.327,89.808,21.704,80.925,10.55,-1.4,83.959,65.224,18.735,85.36,66.46,18.9,299.571,146.354,103.436,42.918,153.217
1973Q2,1413.887,840.527,412.681,131.295,281.386,427.847,268.196,249.99,171.283,54.06,94.897,22.326,78.707,18.206,2.454,91.923,72.56,19.363,89.468,70.04,19.428,302.709,146.517,103.355,43.162,156.192
1973Q3,1433.838,858.877,420.716,130.8,289.916,438.16,264.335,254.574,176.642,56.831,96.85,22.961,77.932,9.761,6.437,97.576,77.236,20.34,91.139,72.1,19.039,304.189,144.24,100.495,43.746,159.949
1973Q4,1476.289,873.887,425.877,128.201,297.675,448.011,280.858,255.865,180.142,57.714,98.693,23.735,75.723,24.993,8.952,107.62,88.064,19.556,98.669,78.772,19.897,312.593,147.63,103.255,44.374,164.963
1974Q1,1491.209,891.868,435.505,126.652,308.853,456.362,268.361,255.842,183.404,58.984,100.032,24.388,72.438,12.519,6.394,116.709,95.116,21.593,110.315,88.832,21.483,324.586,152.687,106.194,46.492,171.899
1974Q2,1530.056,920.422,448.6,130.583,318.017,471.822,277.391,259.975,188.818,61.333,102.376,25.11,71.157,17.416,-2.714,126.668,103.536,23.132,129.382,106.388,22.994,334.957,154.877,108.827,46.05,180.08
1974Q3,1560.026,949.276,463.992,136.324,327.667,485.284,271.013,265.434,194.485,61.417,107.085,25.983,70.949,5.578,-6.972,126.638,103.664,22.974,133.61,110.6,23.01,346.71,160.404,110.321,50.083,186.306
1974Q4,1599.679,959.079,458.056,127.148,330.908,501.022,281.339,260.893,197.569,63.214,107.77,26.585,63.324,20.446,0.033,136.585,111.66,24.925,136.552,112.26,24.292,359.228,167.37,114.235,53.136,191.858
1975Q1,1616.116,985.19,467.993,131.787,336.206,517.197,244.306,254.335,193.137,61.682,104.513,26.942,61.197,-10.028,16.481,141.369,114.936,26.433,124.888,100.936,23.952,370.138,168.635,115.068,53.566,201.504
1975Q2,1651.853,1013.582,481.541,136.692,344.849,532.041,243.281,257.235,193.276,60.409,105.582,27.285,63.959,-13.954,21.582,136.827,108.464,28.363,115.245,92.264,22.981,373.408,169.392,114.248,55.144,204.016
1975Q3,1709.82,1047.192,502.752,146.788,355.964,544.44,265.192,266.579,197.807,61.275,108.527,28.006,68.772,-1.388,12.043,134.098,109.792,24.306,122.055,98.772,23.283,385.394,176.118,119.996,56.123,209.275
1975Q4,1761.831,1076.223,513.051,153.392,359.659,563.172,276.236,275.888,202.883,62.034,111.84,29.01,73.005,0.348,13.801,142.531,116.768,25.763,128.73,104.028,24.702,395.571,180.772,122.592,58.18,214.799
1976Q1,1820.487,1109.908,530.733,163.297,367.436,579.174,304.638,289.945,209.504,64.099,115.026,30.379,80.441,14.693,4.65,143.588,117.016,26.572,138.938,113.54,25.398,401.291,181.601,122.92,58.681,219.691
1976Q2,1852.332,1129.54,538.969,165.9,373.07,590.571,322.303,299.855,215.008,65.057,118.315,31.636,84.847,22.448,-0.496,146.621,119.084,27.537,147.116,121.324,25.792,400.985,182.502,123.427,59.075,218.482
1976Q3,1886.558,1158.806,550.453,169.845,380.608,608.353,328.307,307.501,222.627,66.683,123.099,32.845,84.874,20.807,-4.073,151.775,122.7,29.075,155.848,128.92,26.928,403.517,184.874,125.164,59.71,218.643
1976Q4,1934.273,1192.408,565.063,175.455,389.607,627.345,337.65,327.132,230.244,67.821,128.525,33.897,96.888,10.518,-6.603,156.076,127.136,28.94,162.68,134.744,27.936,410.818,190.224,128.298,61.926,220.595
1977Q1,1988.648,1228.212,580.398,183.931,396.467,647.814,360.313,345.491,243.278,69.732,139.0,34.546,102.213,14.822,-21.079,155.354,126.324,29.03,176.433,147.624,28.81,421.202,194.23,131.586,62.644,226.972
1977Q2,2055.909,1255.98,592.927,189.223,403.704,663.054,389.703,370.233,253.749,73.631,144.64,35.478,116.485,19.469,-21.136,161.906,131.34,30.566,183.042,153.15,29.891,431.362,198.93,134.126,64.804,232.431
1977Q3,2118.473,1286.905,603.902,193.992,409.909,683.003,414.134,383.251,263.268,76.409,150.611,36.249,119.982,30.884,-20.579,162.325,130.636,31.689,182.904,153.171,29.733,438.014,201.899,135.347,66.552,236.115
