Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1929,104.556,77.382,43.77,9.829,33.941,33.613,17.17,15.63,11.56,5.491,5.492,0.577,4.071,1.539,0.383,5.939,5.347,0.592,5.556,4.463,1.093,9.622,1.907,1.056,0.851,7.714
1930,92.16,70.136,38.164,7.661,30.503,31.972,11.428,11.651,9.184,4.448,4.18,0.556,2.467,-0.223,0.323,4.444,3.929,0.515,4.121,3.104,1.017,10.273,2.017,1.09,0.926,8.256
1931,77.391,60.672,31.709,5.911,25.798,28.963,6.549,7.661,5.762,2.619,2.643,0.5,1.899,-1.112,0.001,2.906,2.494,0.412,2.905,2.12,0.785,10.169,2.067,1.081,0.986,8.102
1932,59.522,48.714,24.127,3.959,20.169,24.587,1.819,4.169,3.294,1.392,1.46,0.442,0.875,-2.351,0.043,1.975,1.667,0.308,1.932,1.343,0.589,8.946,2.006,1.051,0.955,6.94
1933,57.154,45.945,23.756,3.762,19.994,22.189,2.276,3.68,2.955,1.091,1.436,0.428,0.724,-1.404,0.058,1.987,1.736,0.251,1.929,1.51,0.419,8.875,2.458,0.999,1.459,6.417
1934,66.8,51.461,28.483,4.564,23.919,22.978,4.296,4.876,3.833,1.234,2.098,0.501,1.043,-0.58,0.322,2.561,2.238,0.323,2.239,1.763,0.476,10.721,3.457,0.944,2.512,7.264
1935,74.241,55.932,31.628,5.493,26.135,24.305,7.37,6.23,4.829,1.433,2.833,0.563,1.4,1.141,-0.213,2.769,2.404,0.365,2.982,2.462,0.52,11.151,3.569,1.174,2.395,7.582
1936,84.83,62.188,35.969,6.749,29.221,26.218,9.391,8.23,6.403,1.878,3.881,0.644,1.826,1.161,-0.147,3.007,2.59,0.417,3.154,2.546,0.608,13.398,5.777,1.401,4.376,7.622
1937,93.003,66.839,38.373,7.393,30.98,28.466,12.967,10.341,8.18,2.706,4.77,0.704,2.161,2.626,0.078,4.039,3.451,0.588,3.961,3.181,0.78,13.119,5.291,1.448,3.843,7.828
1938,87.352,64.272,36.006,6.123,29.883,28.266,7.944,8.519,6.279,2.124,3.401,0.754,2.239,-0.575,0.966,3.811,3.243,0.568,2.845,2.173,0.672,14.17,5.915,1.513,4.402,8.256
1939,93.437,67.209,37.921,7.168,30.754,29.287,10.229,10.021,6.871,2.217,3.883,0.771,3.151,0.208,0.833,3.969,3.347,0.622,3.136,2.409,0.727,15.165,6.237,1.667,4.57,8.929
1940,102.899,71.288,40.632,8.287,32.345,30.655,14.579,12.186,8.543,2.557,5.167,0.819,3.643,2.393,1.471,4.897,4.124,0.773,3.426,2.698,0.728,15.562,6.837,2.791,4.046,8.725
1941,129.309,81.072,47.448,10.268,37.18,33.624,19.369,15.039,10.823,3.25,6.443,1.13,4.216,4.33,1.033,5.482,4.533,0.949,4.449,3.416,1.033,27.836,19.109,15.368,3.741,8.727
1942,165.952,89.002,51.026,7.63,43.395,37.976,11.762,9.856,7.502,2.241,4.065,1.196,2.353,1.906,-0.252,4.375,3.389,0.986,4.627,2.744,1.883,65.44,56.699,53.491,3.207,8.742
1943,203.084,99.903,56.332,7.471,48.861,43.57,7.405,8.151,6.583,1.77,3.671,1.142,1.568,-0.746,-2.246,4.034,2.92,1.114,6.28,3.442,2.838,98.023,89.488,86.801,2.687,8.534
1944,224.447,108.648,60.531,7.743,52.788,48.117,9.18,10.104,8.608,2.369,5.002,1.237,1.496,-0.924,-2.024,4.88,3.589,1.291,6.904,3.813,3.091,108.643,100.086,97.272,2.814,8.558
1945,228.007,119.977,67.624,9.098,58.525,52.354,12.4,13.877,12.054,3.336,7.285,1.433,1.823,-1.477,-0.766,6.781,5.365,1.416,7.547,3.893,3.654,96.396,87.222,84.786,2.435,9.174
1946,227.535,144.198,86.245,17.114,69.131,57.953,33.128,27.118,19.163,7.381,9.945,1.837,7.955,6.011,7.182,14.156,11.764,2.392,6.974,5.067,1.907,43.027,31.986,27.995,3.991,11.041
1947,249.616,161.852,99.429,21.833,77.596,62.423,37.131,37.681,25.473,8.137,15.316,2.02,12.209,-0.551,10.807,18.74,16.097,2.643,7.933,5.973,1.96,39.827,25.736,21.072,4.663,14.091
1948,274.468,174.878,107.42,24.453,82.966,67.459,50.347,44.689,28.881,9.526,17.28,2.075,15.808,5.659,5.487,15.547,13.265,2.282,10.06,7.557,2.503,43.755,27.041,20.887,6.154,16.714
1949,272.475,178.333,108.081,26.623,81.457,70.252,39.099,41.791,26.95,9.178,15.732,2.04,14.841,-2.692,5.235,14.484,12.213,2.271,9.249,6.874,2.375,49.808,30.423,22.341,8.082,19.385
1950,299.827,192.044,116.83,32.445,84.384,75.215,56.53,50.761,30.017,9.957,17.799,2.261,20.744,5.769,0.738,12.35,10.203,2.147,11.612,9.081,2.531,50.515,29.418,22.649,6.769,21.097
1951,346.914,208.339,124.748,31.739,93.009,83.591,62.759,52.848,34.187,11.954,19.874,2.359,18.661,9.911,2.513,17.099,14.243,2.856,14.586,11.176,3.41,73.304,49.947,43.689,6.258,23.356
1952,367.341,219.32,128.785,31.243,97.542,90.535,57.274,53.759,34.901,12.224,19.694,2.983,18.858,3.514,1.164,16.459,13.449,3.01,15.295,10.838,4.457,89.583,64.815,57.413,7.402,24.768
1953,389.218,232.74,134.835,34.616,100.219,97.905,60.414,58.466,38.768,13.57,21.531,3.667,19.699,1.948,-0.701,15.313,12.412,2.901,16.014,10.975,5.039,96.765,70.274,61.134,9.14,26.49
1954,390.549,239.608,135.766,33.713,102.053,103.842,58.07,60.007,38.565,13.865,20.812,3.888,21.442,-1.937,0.404,15.836,12.929,2.907,15.432,10.353,5.079,92.467,63.255,54.448,8.807,29.212
1955,425.478,258.288,147.398,40.745,106.653,110.89,73.754,68.767,43.364,15.157,23.888,4.318,25.403,4.987,0.478,17.677,14.424,3.253,17.199,11.527,5.672,92.958,61.015,52.363,8.653,31.943
1956,449.353,271.128,152.154,40.169,111.985,118.973,77.685,73.735,49.748,18.18,26.343,5.225,23.987,3.95,2.361,21.284,17.556,3.728,18.923,12.803,6.12,98.18,63.115,54.958,8.156,35.065
1957,474.039,286.296,159.602,42.027,117.575,126.693,76.505,75.728,53.097,18.95,28.561,5.586,22.631,0.777,4.075,24.017,19.562,4.455,19.942,13.291,6.651,107.163,68.453,59.941,8.513,38.71
