Time,Gross domestic income,"Compensation of employees, paid",Wages and salaries,To persons,To the rest of the world,Supplements to wages and salaries,Taxes on production and imports,Less: Subsidies,Net operating surplus,Private enterprises,"Net interest and miscellaneous payments, domestic industries",Business current transfer payments (net),Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Taxes on corporate income,Profits after tax with inventory valuation and capital consumption adjustments,Net dividends,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Consumption of fixed capital,Private,Government,Statistical discrepancy
1984,3996.19,2216.083,1845.126,1844.296,0.83,370.957,289.773,21.065,913.003,913.87,331.112,29.159,228.247,24.652,300.699,81.477,219.222,89.736,129.486,-0.867,598.394,463.516,134.879,41.423
1985,4284.907,2387.539,1982.765,1981.904,0.861,404.774,308.133,21.36,970.456,968.585,352.289,34.06,241.051,26.204,314.98,81.61,233.37,99.909,133.461,1.871,640.137,496.41,143.727,54.072
1986,4499.783,2543.845,2104.117,2101.427,2.69,439.729,323.373,24.895,972.164,969.623,374.824,35.961,256.479,18.268,284.091,91.871,192.22,103.192,89.028,2.541,685.295,531.572,153.723,79.848
1987,4811.61,2723.761,2257.623,2255.273,2.35,466.139,347.545,30.282,1040.201,1037.453,378.296,33.292,286.468,16.594,322.803,112.702,210.101,103.163,106.938,2.748,730.385,566.309,164.076,43.605
1988,5233.615,2948.854,2440.649,2438.787,1.862,508.205,374.464,29.501,1155.301,1149.745,409.716,32.755,325.524,22.492,359.258,124.266,234.992,113.617,121.375,5.557,784.496,607.913,176.583,2.823
1989,5573.751,3140.886,2584.336,2582.034,2.302,556.55,398.867,27.428,1223.169,1215.911,463.404,38.266,341.13,21.524,351.587,124.422,227.165,147.709,79.456,7.258,838.258,649.619,188.639,67.828
1990,5867.789,3342.68,2743.506,2740.027,3.479,599.175,424.99,26.994,1238.581,1234.853,471.11,39.178,353.154,28.168,343.243,121.816,221.427,168.59,52.837,3.728,888.532,688.396,200.135,95.355
1991,6065.418,3453.267,2817.229,2813.188,4.041,636.038,457.091,27.488,1250.156,1241.938,438.039,38.89,354.162,38.577,372.271,117.813,254.458,177.803,76.655,8.218,932.393,721.456,210.937,92.712
1992,6404.817,3671.211,2968.506,2963.745,4.761,702.705,483.375,30.088,1320.074,1309.63,400.982,39.72,400.155,60.573,408.2,131.914,276.286,178.473,97.813,10.444,960.247,742.886,217.361,115.51
1993,6703.129,3820.61,3082.66,3077.52,5.14,737.949,503.126,36.681,1412.576,1401.145,389.907,39.388,427.984,90.079,453.787,155.047,298.74,201.111,97.629,11.431,1003.498,778.21,225.288,155.43
1994,7147.99,4010.207,3240.604,3234.646,5.958,769.603,545.248,32.523,1569.45,1556.794,389.644,40.714,456.644,113.667,556.125,172.671,383.454,220.391,163.063,12.656,1055.61,822.507,233.102,139.247
1995,7547.593,4202.178,3422.112,3415.843,6.269,780.066,557.903,34.812,1699.943,1683.436,408.671,44.967,481.186,124.882,623.73,194.449,429.281,250.774,178.507,16.507,1122.381,880.728,241.653,92.156
1996,8016.095,4421.067,3620.594,3614.288,6.306,800.473,580.753,35.234,1874.202,1856.448,415.889,52.645,543.784,142.528,701.602,211.386,490.216,283.461,206.755,17.754,1175.306,929.111,246.195,57.027
1997,8567.298,4713.22,3881.246,3874.574,6.672,831.974,611.614,33.81,2036.948,2018.869,455.479,50.061,583.958,147.059,782.312,224.762,557.55,312.727,244.823,18.079,1239.325,987.753,251.572,10.255
1998,9119.217,5075.701,4186.179,4179.179,7.0,889.522,639.473,36.368,2130.673,2113.799,511.833,64.078,640.276,165.206,732.405,221.805,510.6,344.361,166.239,16.874,1309.737,1052.165,257.571,-56.401
1999,9660.488,5409.932,4465.176,4453.68,11.496,944.757,673.585,45.209,2223.244,2206.415,518.843,67.684,696.352,178.497,745.039,227.386,517.653,333.669,183.984,16.829,1398.934,1132.208,266.725,-29.316
2000,10346.717,5854.629,4832.43,4820.551,11.879,1022.2,708.556,45.84,2318.144,2306.69,603.736,85.173,753.559,183.476,680.747,233.448,447.299,383.651,63.648,11.454,1511.225,1231.511,279.713,-95.765
2001,10698.659,6046.343,4961.629,4949.123,12.507,1084.714,727.69,58.71,2383.827,2378.169,627.1,99.226,831.057,202.403,618.384,170.148,448.236,362.06,86.176,5.658,1599.511,1311.709,287.802,-116.73
2002,11010.778,6143.368,5004.096,4991.274,12.823,1139.272,760.03,41.396,2490.794,2483.221,550.295,80.755,870.133,208.448,773.589,160.674,612.915,379.443,233.472,7.573,1657.984,1361.824,296.16,-81.67
2003,11480.643,6362.296,5146.959,5133.597,13.361,1215.337,805.616,49.057,2642.691,2637.571,518.771,76.048,897.509,227.098,918.145,213.763,704.381,422.953,281.428,5.121,1719.098,1411.966,307.133,-24.194
2004,12245.295,6729.301,5430.827,5416.279,14.547,1298.474,868.098,46.386,2872.444,2872.089,459.037,81.963,962.895,242.781,1125.412,278.512,846.901,517.519,329.382,0.355,1821.841,1497.124,324.717,-28.099
2005,13096.193,7077.721,5702.993,5686.583,16.41,1374.728,942.438,60.911,3165.894,3169.343,574.129,90.641,979.14,221.105,1304.329,379.749,924.58,318.392,606.188,-3.449,1971.053,1622.632,348.421,-56.997
2006,14025.375,7491.255,6068.318,6051.67,16.648,1422.938,997.039,51.467,3464.382,3470.287,702.095,79.818,1050.869,181.12,1456.385,430.147,1026.238,637.938,388.3,-5.905,2124.17,1751.846,372.324,-209.792
2007,14461.933,7889.369,6407.285,6391.173,16.113,1482.083,1036.829,54.584,3337.568,3350.439,813.507,97.247,995.398,186.259,1258.028,391.782,866.246,677.861,188.385,-12.871,2252.751,1852.444,400.307,12.294
2008,14578.667,8068.679,6545.949,6528.731,17.218,1522.73,1049.74,52.557,3153.837,3170.564,851.777,112.781,960.304,290.275,955.428,255.918,699.509,660.852,38.657,-16.728,2358.968,1931.948,427.02,191.195
2009,14286.347,7767.191,6257.281,6243.37,13.912,1509.91,1026.817,58.347,3179.409,3193.964,706.24,125.118,938.126,347.592,1076.888,203.933,872.955,516.582,356.373,-14.556,2371.277,1928.51,442.767,191.72
2010,14979.526,7932.969,6380.11,6366.58,13.53,1552.859,1063.073,55.808,3648.901,3667.447,610.26,126.327,1108.503,433.671,1388.685,272.267,1116.418,514.546,601.872,-18.546,2390.391,1933.238,457.152,69.445
2011,15624.026,8234.013,6634.02,6620.077,13.943,1599.993,1103.723,60.008,3871.93,3889.771,574.894,130.122,1228.337,506.541,1449.878,280.763,1169.115,633.083,536.032,-17.842,2474.368,1997.214,477.154,-24.295
2012,16407.611,8575.371,6936.133,6921.822,14.311,1639.238,1136.114,58.037,4178.614,4192.26,609.967,95.532,1299.922,534.468,1652.37,334.589,1317.781,765.393,552.388,-13.646,2575.548,2081.931,493.618,-153.641
2013,16910.471,8843.638,7122.593,7107.381,15.212,1721.044,1185.823,59.72,4259.127,4272.77,552.747,107.299,1351.739,578.687,1682.298,362.418,1319.88,858.891,460.989,-13.643,2681.603,2176.593,505.01,-29.787
2014,17749.078,9259.655,7485.778,7469.829,15.949,1773.876,1237.712,58.09,4490.116,4498.591,586.693,135.474,1369.965,598.502,1807.956,406.89,1401.066,898.271,502.795,-8.475,2819.685,2301.35,518.335,-140.94
2015,18387.992,9709.535,7869.599,7852.904,16.695,1839.937,1273.454,57.192,4539.256,4542.103,661.192,153.909,1347.722,601.351,1777.928,396.125,1381.803,965.924,415.878,-2.847,2922.938,2397.865,525.074,-92.973
2016,18752.004,9977.096,8102.227,8084.909,17.317,1874.87,1309.126,61.748,4519.421,4521.575,666.724,162.512,1349.214,618.723,1724.401,376.034,1348.367,953.732,394.636,-2.154,3008.109,2475.581,532.528,52.909
2017,19544.2,10434.978,8485.016,8468.063,16.954,1949.962,1363.971,59.875,4656.172,4660.424,720.494,142.925,1428.634,642.028,1726.343,297.156,1429.187,1043.492,385.695,-4.253,3148.953,2599.066,549.888,67.902
2018,20593.076,10967.687,8910.107,8892.882,17.225,2057.58,1457.094,63.32,4919.011,4923.603,756.397,155.811,1495.331,671.488,1844.577,297.423,1547.154,418.955,1128.198,-4.592,3312.603,2737.301,575.302,63.44
2019,21482.943,11458.472,9337.004,9318.094,18.91,2121.468,1533.632,72.956,5086.28,5098.42,754.522,161.396,1555.775,688.432,1938.296,297.195,1641.101,937.773,703.328,-12.141,3477.516,2879.704,597.812,57.039
2020,21254.695,11605.744,9472.949,9458.516,14.432,2132.796,1521.265,698.507,5203.344,5206.406,751.128,146.079,1599.507,743.428,1966.263,311.059,1655.204,1167.415,487.789,-3.062,3622.85,3005.721,617.129,120.586
2021,23687.817,12569.557,10326.157,10307.882,18.276,2243.4,1700.086,626.071,6173.457,6184.389,698.044,193.174,1818.662,776.719,2697.79,468.876,2228.914,1544.53,684.384,-10.931,3870.788,3211.856,658.932,37.828
2022,26055.012,13462.215,11141.606,11115.106,26.5,2320.608,1834.472,127.995,6578.945,6594.957,688.984,252.829,1868.919,871.106,2913.118,600.568,2312.55,1644.556,667.994,-16.012,4307.374,3578.376,728.998,-0.397
2023,27485.663,14228.378,11753.395,11724.009,29.386,2474.983,1861.013,102.252,6927.802,6974.72,647.38,238.648,1941.958,1002.484,3144.25,613.01,2531.24,1741.153,790.086,-46.918,4570.723,3800.377,770.345,325.854
2024,29001.715,15049.121,12409.992,12379.217,30.775,2639.13,1954.685,94.239,7295.448,7342.908,611.088,286.43,2023.08,1078.149,3344.161,680.341,2663.82,1880.004,783.816,-47.46,4796.699,3992.907,803.792,296.298
