Time,Gross domestic income,"Compensation of employees, paid",Wages and salaries,To persons,To the rest of the world,Supplements to wages and salaries,Taxes on production and imports,Less: Subsidies,Net operating surplus,Private enterprises,"Net interest and miscellaneous payments, domestic industries",Business current transfer payments (net),Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Taxes on corporate income,Profits after tax with inventory valuation and capital consumption adjustments,Net dividends,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Consumption of fixed capital,Private,Government,Statistical discrepancy
1929,103.822,51.407,50.459,,,0.948,6.824,0.046,,35.229,4.038,0.511,14.015,6.065,10.601,1.365,9.236,5.573,3.663,,10.409,9.411,0.998,0.735
1930,92.606,47.166,46.213,,,0.953,6.971,0.073,,28.327,4.256,0.467,10.872,5.371,7.361,0.842,6.519,5.331,1.188,,10.217,9.221,0.996,-0.446
1931,76.653,40.07,39.156,,,0.914,6.669,0.145,,20.545,4.298,0.538,8.315,4.44,2.955,0.498,2.457,4.07,-1.613,,9.514,8.55,0.964,0.737
1932,59.248,31.338,30.513,,,0.825,6.57,0.117,,13.12,4.086,0.579,5.012,3.599,-0.156,0.383,-0.539,2.58,-3.119,,8.338,7.465,0.873,0.273
1933,56.636,29.786,29.026,,,0.76,6.864,0.166,,12.14,3.673,0.515,5.268,2.858,-0.173,0.521,-0.694,2.04,-2.734,,8.012,7.042,0.97,0.518
1934,66.428,34.552,33.733,,,0.819,7.625,0.467,,16.289,3.807,0.502,7.007,2.516,2.457,0.744,1.713,2.507,-0.794,,8.43,7.288,1.142,0.373
1935,74.471,37.666,36.721,,,0.945,7.99,0.598,,20.933,3.88,0.506,10.124,2.564,3.859,0.951,2.908,2.685,0.223,,8.48,7.324,1.156,-0.231
1936,83.648,43.288,41.953,,,1.335,8.461,0.289,,23.387,3.651,0.533,10.393,2.684,6.126,1.409,4.717,4.419,0.298,,8.801,7.509,1.293,1.182
1937,93.048,48.309,46.138,,,2.171,8.941,0.347,,26.38,3.589,0.524,12.521,2.966,6.78,1.502,5.278,4.538,0.74,,9.767,8.371,1.396,-0.045
1938,86.671,45.411,43.012,,,2.399,8.932,0.479,,22.766,3.571,0.41,10.598,3.48,4.707,1.029,3.678,2.918,0.76,,10.042,8.58,1.462,0.681
1939,92.148,48.551,45.983,,,2.568,9.146,0.796,,25.141,3.602,0.435,11.12,3.716,6.268,1.441,4.827,3.582,1.245,,10.103,8.59,1.513,1.289
1940,101.834,52.746,49.857,,,2.889,9.795,0.748,,29.465,3.327,0.451,12.234,3.847,9.606,2.834,6.772,3.782,2.99,,10.577,8.976,1.601,1.065
1941,128.991,66.181,62.079,,,4.102,11.054,0.456,,40.149,3.256,0.527,16.65,4.415,15.302,7.61,7.692,4.2,3.492,,12.062,9.95,2.112,0.318
1942,166.859,88.026,82.088,,,5.938,11.512,0.52,,52.932,3.181,0.545,23.341,5.454,20.411,11.415,8.996,4.029,4.967,,14.911,11.246,3.665,-0.907
1943,204.909,112.714,105.802,,,6.912,12.431,0.583,,62.317,2.898,0.642,28.225,6.024,24.528,14.074,10.454,4.208,6.246,,18.031,11.539,6.492,-1.825
1944,221.915,124.372,116.8,,,7.572,13.711,1.041,,63.53,2.486,0.812,29.346,6.337,24.549,12.949,11.6,4.324,7.276,,21.341,12.038,9.303,2.533
1945,224.176,126.368,117.557,,,8.811,15.095,1.144,,60.749,2.347,0.891,30.824,6.578,20.11,10.689,9.421,4.372,5.049,,23.107,12.507,10.6,3.832
1946,226.303,122.525,112.045,,,10.48,16.832,1.359,,62.614,1.8,0.692,35.671,6.899,17.552,9.104,8.448,5.149,3.299,,25.69,14.247,11.444,1.231
1947,246.753,132.292,123.028,,,9.264,18.106,0.398,,67.634,2.272,0.715,34.579,6.889,23.178,11.193,11.985,5.707,6.278,,29.121,17.735,11.386,2.864
1948,274.719,144.227,135.464,135.44,0.024,8.763,19.726,0.54,,79.979,2.378,0.707,39.279,7.484,30.132,12.254,17.878,6.367,11.511,,31.326,20.82,10.505,-0.25
1949,270.731,144.276,134.675,134.62,0.055,9.601,20.904,0.498,,73.765,2.657,0.688,34.69,7.798,27.933,10.01,17.923,6.599,11.324,,32.284,22.59,9.694,1.743
1950,298.565,158.191,147.175,147.135,0.04,11.016,22.95,0.843,,84.874,2.968,0.824,37.514,8.779,34.79,17.728,17.062,8.051,9.011,,33.394,24.334,9.06,1.262
1951,343.468,185.691,171.593,171.484,0.109,14.098,24.745,1.048,,96.355,3.429,1.159,42.594,9.72,39.454,22.304,17.15,7.663,9.487,,37.726,27.746,9.979,3.447
1952,364.737,201.086,185.634,185.506,0.128,15.452,27.121,0.774,,96.699,3.868,1.199,43.04,10.816,37.777,19.107,18.67,7.753,10.917,,40.606,29.544,11.062,2.604
1953,385.426,215.252,198.996,198.861,0.135,16.256,29.101,0.514,,98.097,4.403,1.153,42.017,12.028,38.496,19.944,18.552,8.094,10.458,,43.488,31.344,12.144,3.792
1954,387.641,214.196,197.32,197.13,0.19,16.876,28.889,0.327,,98.903,5.172,0.916,42.255,13.061,37.498,17.348,20.15,8.136,12.014,,45.981,32.958,13.022,2.909
1955,423.348,230.641,212.221,212.016,0.205,18.42,31.467,0.201,,112.552,5.745,1.298,44.272,13.423,47.814,21.789,26.025,9.151,16.874,,48.893,34.995,13.897,2.13
1956,451.386,249.357,229.108,228.888,0.22,20.249,34.237,0.742,,114.408,6.445,1.651,45.819,13.668,46.825,21.591,25.234,9.869,15.365,,54.127,38.811,15.316,-2.033
1957,474.395,262.654,240.029,239.81,0.219,22.625,36.616,1.132,,117.34,7.63,1.823,47.785,14.054,46.048,20.88,25.168,10.399,14.769,,58.919,42.259,16.66,-0.357
1958,480.584,264.742,241.389,241.171,0.218,23.353,37.72,1.368,,117.036,9.043,1.704,50.158,14.798,41.334,18.44,22.894,10.356,12.538,,62.454,44.91,17.544,0.645
1959,521.454,285.91,259.923,259.689,0.234,25.987,41.052,1.058,130.107,129.563,9.205,1.656,50.346,15.559,52.796,22.816,29.98,11.619,18.361,0.545,65.445,46.819,18.625,0.2
1960,543.69,301.438,273.01,272.696,0.314,28.428,44.547,1.146,130.95,130.483,10.146,1.744,50.587,16.463,51.543,21.885,29.658,12.307,17.351,0.467,67.901,48.209,19.693,-1.309
1961,563.124,310.566,280.663,280.352,0.311,29.903,46.968,2.014,136.999,136.661,11.734,1.899,53.199,17.2,52.629,22.203,30.426,12.193,18.233,0.338,70.604,49.781,20.823,-0.915
1962,603.951,332.297,299.453,299.185,0.268,32.844,50.382,2.273,149.448,149.05,13.38,2.119,55.234,18.046,60.271,23.296,36.975,13.155,23.82,0.398,74.1,51.795,22.305,-0.029
1963,638.918,350.471,314.914,314.673,0.241,35.557,53.386,2.234,159.276,158.462,14.382,2.527,56.398,18.728,66.427,25.491,40.936,14.442,26.494,0.814,78.018,54.158,23.86,-1.467
1964,684.51,376.029,337.842,337.601,0.241,38.187,57.269,2.729,171.552,170.686,16.48,3.005,59.132,18.831,73.239,26.573,46.666,16.573,30.093,0.866,82.39,57.276,25.114,-0.05
1965,741.547,405.41,363.752,363.561,0.191,41.658,60.709,3.007,190.427,189.64,18.574,3.485,63.662,19.336,84.583,29.768,54.815,18.171,36.644,0.788,88.008,61.568,26.44,0.743
1966,808.333,449.225,400.297,400.116,0.181,48.928,63.211,3.949,204.536,204.148,21.32,3.39,67.933,19.91,91.594,32.232,59.362,19.477,39.885,0.388,95.311,67.172,28.139,5.081
1967,856.6,481.76,428.979,428.796,0.183,52.781,67.937,3.811,207.157,206.879,24.34,3.628,69.475,20.345,89.091,30.992,58.099,20.237,37.862,0.278,103.557,73.327,30.23,3.358
1968,937.518,530.739,471.96,471.749,0.211,58.779,76.407,4.174,221.189,220.736,26.515,4.182,73.832,20.096,96.111,37.164,58.947,22.631,36.316,0.453,113.357,80.603,32.754,3.133
1969,1016.032,584.436,518.311,518.096,0.215,66.125,83.856,4.534,227.377,227.214,33.241,4.799,77.005,20.348,91.821,36.958,54.863,23.422,31.441,0.163,124.896,89.433,35.463,1.583
1970,1067.965,623.324,551.537,551.309,0.228,71.787,91.413,4.777,221.168,222.202,40.236,4.356,77.803,20.664,79.144,31.263,47.881,23.865,24.016,-1.034,136.839,98.26,38.579,5.338
1971,1155.333,664.974,584.528,584.281,0.247,80.446,100.493,4.675,245.616,247.131,44.449,4.158,83.904,21.828,92.792,34.808,57.984,23.694,34.29,-1.515,148.926,107.635,41.291,9.517
1972,1271.943,731.334,638.786,638.503,0.283,92.548,107.928,6.636,278.308,279.244,48.975,4.779,95.094,22.719,107.678,39.11,68.568,25.173,43.395,-0.936,161.011,117.493,43.517,7.167
1973,1419.232,812.696,708.775,708.467,0.308,103.921,117.22,5.23,315.863,317.821,57.951,5.741,112.521,23.117,118.492,45.632,72.86,27.448,45.412,-1.958,178.686,131.492,47.194,6.144
1974,1537.793,887.737,772.304,771.952,0.352,115.433,124.902,3.307,321.568,324.014,73.598,6.787,112.213,23.181,108.236,47.235,61.001,29.004,31.997,-2.446,206.894,153.159,53.735,7.45
1975,1671.561,947.273,814.881,814.481,0.4,132.392,135.292,4.494,354.978,359.047,85.253,9.036,118.238,22.292,124.228,46.264,77.964,31.786,46.178,-4.068,238.51,178.79,59.72,13.343
1976,1852.757,1048.384,899.782,899.36,0.422,148.602,146.388,5.125,402.881,405.267,87.058,9.136,130.974,20.308,157.79,59.418,98.372,35.925,62.447,-2.385,260.226,196.512,63.714,20.655
1977,2062.378,1165.887,994.22,993.756,0.464,171.667,159.664,7.1,454.097,457.055,101.945,8.081,144.492,15.867,186.67,68.504,118.166,39.627,78.539,-2.958,289.832,221.127,68.705,19.448
1978,2328.274,1316.864,1120.669,1120.166,0.503,196.195,170.898,8.936,522.253,524.631,116.037,10.375,165.974,16.545,215.7,77.852,137.848,46.615,91.233,-2.377,327.196,252.115,75.081,23.325
1979,2582.331,1477.302,1253.385,1252.884,0.501,223.917,180.101,8.531,559.577,562.276,139.387,12.753,179.438,16.093,214.605,80.737,133.868,50.978,82.89,-2.699,373.882,290.733,83.149,45.003
1980,2813.037,1622.345,1373.52,1372.957,0.563,248.826,200.33,9.8,571.731,576.212,184.013,13.998,171.569,18.978,187.655,75.484,112.171,59.251,52.92,-4.481,428.432,334.977,93.454,44.27
1981,3169.341,1792.681,1511.529,1510.862,0.667,281.152,235.644,11.473,665.26,669.977,233.387,16.914,179.68,23.78,216.215,70.315,145.9,68.438,77.462,-4.717,487.231,381.932,105.299,37.7
1982,3335.141,1893.175,1587.709,1586.977,0.732,305.465,240.933,15.017,679.086,682.503,272.993,19.318,171.191,23.833,195.169,51.294,143.875,72.098,71.777,-3.417,536.963,420.392,116.571,8.648
1983,3577.187,2012.662,1677.686,1676.939,0.747,334.976,263.281,21.304,759.925,761.809,286.596,21.681,186.25,24.435,242.847,66.419,176.428,84.246,92.182,-1.884,562.624,438.788,123.836,56.85
